submitted_at,ticker,paper_side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason,company_name,final_close_model_side,target_weight,current_weight,order_weight_delta,estimated_order_value,alpha_score,net_alpha_after_cost_bps,alpha_rank,quantile_bucket,top_positive_factor_contributors,top_negative_factor_contributors,residual_score,outlier_flag,price_flag,liquidity_flag,risk_flag,signal_price,reason_text,final_close_target_direction,final_close_has_nonzero_target,paper_signed_notional
2026-05-14T17:13:00.563471+00:00,ARCB,SELL,21,116.1,2438.1,False,Filled,1118,,1.0,2.0,0.24381,0.48762,0.73143,True,,ArcBest Corporation,SHORT,-0.00078125,0.0,-0.00078125,-78.125,-0.0043828335126916,40.82833512691684,7298.0,1.0,parkinson_vol_20;volume_z_20;mom_1,volume_z_60;intraday_return;mom_126,,False,True,True,True,118.9,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 40.83 bps versus threshold 5.00 bps. Main contributors were volume_z_60, intraday_return, mom_126. Price filter passed; liquidity filter passed.",SHORT,True,-2438.1
2026-05-14T17:13:00.563471+00:00,ARHS,SELL,415,5.89,2444.35,False,Filled,1121,,1.0,2.0,0.2444349999999999,0.4888699999999999,0.733305,True,,"Arhaus, Inc. Class A Common Stock",,0.0,0.0,0.0,0.0,-0.0011523598970159,-14.523598970159515,6830.0,1.0,parkinson_vol_20;mom_10;close_to_high_20,volume_z_60;mom_5;mom_21,,False,True,True,True,5.88,,FLAT,False,-2444.35
2026-05-14T17:13:00.563471+00:00,ARTV,SELL,70,10.95,766.5,False,Filled,1124,,1.0,2.0,0.07665,0.1533,0.22995,True,,"Artiva Biotherapeutics, Inc. Common Stock",,0.0,0.0,0.0,0.0,0.0007508100587107,4.5081005871074185,1534.0,3.0,intraday_return;hl_range_20;mom_63,parkinson_vol_20;operating_margin;mom_126,,False,True,True,True,10.68,,FLAT,False,-766.5
2026-05-14T17:13:00.563471+00:00,ARWR,SELL,6,79.33,475.98,False,Filled,1127,,1.0,2.0,0.047598,0.095196,0.142794,True,,Arrowhead Research Corporation,,0.0,0.0,0.0,0.0,0.0045387059611267,42.38705961126748,230.0,5.0,mom_252;parkinson_vol_20;intraday_return,mom_126;overnight_return;hl_range_20,,False,True,True,True,79.69,,FLAT,False,-475.98
2026-05-14T17:13:00.563471+00:00,ASO,SELL,47,50.78,2386.66,False,Filled,1133,,1.0,2.0,0.238666,0.477332,0.7159979999999999,True,,"Academy Sports and Outdoors, Inc.",,0.0,0.0,0.0,0.0,0.00096090766206,6.609076620600657,1402.0,4.0,parkinson_vol_20;intraday_return;volume_z_20,hl_range_20;overnight_return;volatility_20,,False,True,True,True,51.07,,FLAT,False,-2386.66
2026-05-14T17:13:00.563471+00:00,ASPI,BUY,125,6.18,772.5,False,Filled,1136,,1.0,2.0,0.07725,0.1545,0.23175,True,,ASP Isotopes Inc. Common Stock,BUY,0.00078125,0.0,0.00078125,78.125,0.006937749818193,66.37749818193022,68.0,5.0,mom_5;revenue_growth_yoy;intraday_return,mom_10;mom_1;close_to_high_20,,False,True,True,True,6.09,"BUY because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 66.38 bps versus threshold 5.00 bps. Main contributors were mom_5, revenue_growth_yoy, intraday_return. Price filter passed; liquidity filter passed.",LONG,True,772.5
2026-05-14T17:13:00.563471+00:00,ASRT,SELL,75,23.31,1748.25,False,Filled,1139,,1.0,2.0,0.174825,0.34965,0.524475,True,,"Assertio Holdings, Inc. Common Stock",,0.0,0.0,0.0,0.0,0.0014409461956371,11.409461956371304,1114.0,4.0,parkinson_vol_20;mom_63;mom_21,hl_range_20;mom_10;mom_126,,False,True,True,True,23.32,,FLAT,False,-1748.25
2026-05-14T17:13:00.563471+00:00,ASST,BUY,143,17.91,2561.13,False,Filled,1142,,1.0,2.0,0.256113,0.5122260000000001,0.7683390000000001,True,,"Strive, Inc. Class A Common Stock",SELL,0.0036760602678571,0.0044642857142857,-0.0007882254464285,-78.82254464285712,0.0019385716323086,16.38571632308691,857.0,4.0,mom_63;mom_5;mom_21,intraday_return;volume_z_60;dist_52w_high,,False,True,True,True,17.71,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 16.39 bps versus threshold 5.00 bps. Main contributors were mom_63, mom_5, mom_21. Price filter passed; liquidity filter passed.",LONG,True,2561.13
2026-05-14T17:13:00.563471+00:00,ASTI,BUY,629,5.15,3239.3500000000004,False,Filled,1145,,1.0,2.0,0.323935,0.6478700000000001,0.971805,True,,"Ascent Solar Technologies, Inc. Common Stock",,0.0,0.0,0.0,0.0,-0.0015329347874362,-18.329347874362437,6921.0,1.0,mom_5;hl_range_20;mom_252,parkinson_vol_20;mom_126;mom_21,,False,True,True,True,5.0,,FLAT,False,3239.3500000000004
2026-05-14T17:13:00.563471+00:00,ASYS,BUY,39,22.33,870.8699999999999,False,Filled,1148,,1.0,2.0,0.0870869999999999,0.1741739999999999,0.2612609999999999,True,,Amtech Systems Inc,SELL,0.0036760602678571,0.0044642857142857,-0.0007882254464285,-78.82254464285712,0.0042917450355238,39.9174503552381,258.0,5.0,mom_252;mom_5;mom_63,intraday_return;mom_126;mom_10,,False,True,True,True,22.455,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 39.92 bps versus threshold 5.00 bps. Main contributors were mom_252, mom_5, mom_63. Price filter passed; liquidity filter passed.",LONG,True,870.8699999999999
2026-05-14T17:13:00.563471+00:00,ATII,BUY,227,10.86,2465.22,False,Filled,1154,,1.0,2.0,0.246522,0.493044,0.739566,True,,Archimedes Tech SPAC Partners II Co. Ordinary Shares,,0.0,0.0,0.0,0.0,0.0001315111562671,-1.6848884373289663,1917.0,3.0,parkinson_vol_20;volume_z_60;volatility_10,hl_range_20;volatility_20;close_to_high_20,,False,True,True,True,10.9,,FLAT,False,2465.22
2026-05-14T17:13:00.563471+00:00,ATOM,SELL,409,9.72,3975.480000000001,False,Filled,1157,,1.0,2.0,0.397548,0.7950960000000001,1.1926440000000005,True,,Atomera Incorporated Common Stock,COVER,-0.0036760602678571,-0.0044642857142857,0.0007882254464285,78.82254464285712,-4.825932254718488e-05,-2.517406774528151,6405.0,2.0,hl_range_20;mom_63;mom_21,parkinson_vol_20;mom_126;volatility_10,,False,True,True,True,9.63,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is -2.52 bps versus threshold 5.00 bps. Main contributors were parkinson_vol_20, mom_126, volatility_10. Price filter passed; liquidity filter passed.",SHORT,True,-3975.480000000001
2026-05-14T17:13:00.563471+00:00,AUUD,BUY,363,1.26,457.38,False,Filled,1160,,1.0,2.0,0.045738,0.091476,0.137214,True,,Auddia Inc. Common Stock,,0.0,0.0,0.0,0.0,-0.0105157205517476,-108.15720551747624,7486.0,1.0,intraday_return;hl_range_20;volatility_20,parkinson_vol_20;operating_margin;mom_5,,False,False,False,True,1.22,,FLAT,False,457.38
2026-05-14T17:13:00.563471+00:00,AVAH,SELL,646,7.36,4754.56,False,Filled,1163,,1.0,2.0,0.475456,0.950912,1.426368,True,,Aveanna Healthcare Holdings Inc. Common Stock,COVER,-0.0044573102678571,-0.0044642857142857,6.975446428571404e-06,0.6975446428571404,-0.0055099890851068,52.0998908510686,7356.0,1.0,parkinson_vol_20;mom_1;volume_z_20,volume_z_60;intraday_return;overnight_return,,False,True,True,True,7.44,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 52.10 bps versus threshold 5.00 bps. Main contributors were volume_z_60, intraday_return, overnight_return. Price filter passed; liquidity filter passed.",SHORT,True,-4754.56
2026-05-14T17:13:00.563471+00:00,AVR,SELL,662,7.18,4753.16,False,Filled,1172,,1.0,2.0,0.4753159999999999,0.950632,1.425948,True,,Anteris Technologies Global Corp. Common Stock,COVER,-0.0044573102678571,-0.0044642857142857,6.975446428571404e-06,0.6975446428571404,-0.0081767879965583,78.76787996558362,7450.0,1.0,mom_1;parkinson_vol_20;mom_5,intraday_return;volume_z_60;roa,,False,True,True,True,7.25,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 78.77 bps versus threshold 5.00 bps. Main contributors were intraday_return, volume_z_60, roa. Price filter passed; liquidity filter passed.",SHORT,True,-4753.16
2026-05-14T17:13:00.563471+00:00,AVTX,SELL,122,19.17,2338.74,False,Filled,1175,,1.0,2.0,0.233874,0.467748,0.7016220000000001,True,,"Avalo Therapeutics, Inc. Common Stock",,0.0,0.0,0.0,0.0,0.0003435457129788,0.4354571297884608,1801.0,3.0,mom_252;intraday_return;net_margin,operating_margin;mom_10;mom_5,,False,True,True,True,19.01,,FLAT,False,-2338.74
2026-05-14T17:13:00.563471+00:00,AXIN,SELL,391,10.17,3976.47,False,Filled,1181,,1.0,2.0,0.397647,0.795294,1.1929409999999998,True,,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares,,0.0,0.0,0.0,0.0,0.0004720178991889,1.7201789918894628,1729.0,3.0,parkinson_vol_20;volume_z_60;volatility_10,hl_range_20;volatility_20;close_to_high_20,,False,True,False,True,10.2,,FLAT,False,-3976.47
