signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity
2024-06-27,2024-06-28,0.0029669661309217224,0.003124283204092454,0.00015731707317073168,0.0,0.5243902439024389,1.0,-1.734723475976807e-17,0.5,-0.5,123,123,1.0,1.0,1.0,1.0,0.09930634051273876,0.008274875158854464,0.0,1.520859378448918,0.5208593784489179,1.520859378448918
2024-06-28,2024-07-01,-4.6352808527799094e-05,0.00012350013264867147,0.00016985294117647057,0.0,0.5661764705882353,0.9999999999999999,0.0,0.49999999999999994,-0.49999999999999994,136,136,1.0,1.0,1.0,1.0,0.09672273236767936,0.007334205945333237,-4.6352808527716505e-05,1.520788882345351,0.520788882345351,1.520859378448918
2024-07-01,2024-07-02,0.011219053181862651,0.011397729652450887,0.0001786764705882353,0.0,0.5955882352941178,1.0,3.469446951953614e-18,0.5,-0.5,125,125,1.0,1.0,1.0,1.0,0.09772514288447431,0.007334205945333237,0.0,1.537850693694769,0.5378506936947689,1.537850693694769
2024-07-02,2024-07-03,0.0024265422432917763,0.0025897422432917764,0.0001632,0.0,0.544,1.0,0.0,0.5,-0.5,117,117,1.0,1.0,1.0,1.0,0.09003527831944261,0.007334205945333237,0.0,1.5415823533668949,0.5415823533668949,1.5415823533668949
2024-07-03,2024-07-05,-0.0076788248684628285,-0.00749036333000129,0.00018846153846153844,0.0,0.6282051282051282,1.0,0.0,0.5,-0.5,109,109,1.0,1.0,1.0,1.0,0.08798947250074365,0.007334205945333237,-0.00767882486846283,1.5297448124550777,0.5297448124550777,1.5415823533668949
2024-07-05,2024-07-08,0.00012288384115620581,0.0003087812770536417,0.00018589743589743588,0.0,0.6196581196581197,1.0,-6.938893903907228e-18,0.5,-0.5,117,117,1.0,1.0,1.0,1.0,0.09670959030780442,0.007700628096882686,-0.007556884630802063,1.5299327933736209,0.5299327933736209,1.5415823533668949
2024-07-08,2024-07-09,-0.009152219236230155,-0.008954783338794257,0.00019743589743589744,0.0,0.6581196581196582,1.0,-1.0408340855860843e-17,0.5,-0.5,115,115,1.0,1.0,1.0,1.0,0.0955149804685932,0.007700628096882686,-0.01663994160214821,1.5159305130319676,0.5159305130319676,1.5415823533668949
2024-07-09,2024-07-10,-0.0006364572268121962,-0.000460370270290457,0.00017608695652173914,0.0,0.5869565217391305,1.0,0.0,0.5,-0.5,109,109,1.0,1.0,1.0,1.0,0.09775542796593605,0.008166755926828514,-0.017265808217873935,1.5149656881016034,0.5149656881016034,1.5415823533668949
2024-07-10,2024-07-11,-0.0001949203209623592,-2.290197233850602e-05,0.0001720183486238532,0.0,0.573394495412844,1.0,0.0,0.5,-0.5,103,103,1.0,1.0,1.0,1.0,0.09823595050362868,0.008166755926828514,-0.017457363081956778,1.5146703905034316,0.5146703905034316,1.5415823533668949
2024-07-11,2024-07-12,0.0011089266919574498,0.0012781927470033212,0.00016926605504587154,0.0,0.5642201834862385,1.0,0.0,0.5,-0.5,109,109,1.0,1.0,1.0,1.0,0.09028951489598333,0.008166755926828514,-0.016367795325892054,1.5163500489289785,0.5163500489289785,1.5415823533668949
2024-07-12,2024-07-15,-0.005960060416826687,-0.005793546655358798,0.0001665137614678899,0.0,0.555045871559633,1.0,-6.938893903907228e-18,0.5,-0.5,101,101,1.0,1.0,1.0,1.0,0.09028705217094204,0.008166755926828514,-0.02223030269368631,1.5073125110243035,0.5073125110243035,1.5415823533668949
2024-07-15,2024-07-16,0.0010947461697728379,0.0012550402874198967,0.0001602941176470588,0.0,0.5343137254901961,1.0,0.0,0.5,-0.5,102,102,1.0,1.0,1.0,1.0,0.09279739209249055,0.008166755926828514,-0.021159893062640323,1.508962635622398,0.508962635622398,1.5415823533668949
2024-07-16,2024-07-17,-0.0006555432306309234,-0.00048781595790365066,0.0001677272727272727,0.0,0.5590909090909091,1.0,-1.734723475976807e-18,0.5,-0.5,110,110,1.0,1.0,1.0,1.0,0.08819415572833532,0.008166755926828514,-0.021801565068613193,1.5079734453813407,0.5079734453813407,1.5415823533668949
2024-07-17,2024-07-18,-0.004428716200013126,-0.004281443472740398,0.00014727272727272728,0.0,0.49090909090909096,1.0,-3.469446951953614e-18,0.5,-0.5,101,101,1.0,1.0,1.0,1.0,0.08530548596012369,0.008166755926828514,-0.02613372832422134,1.5012950589545906,0.5012950589545906,1.5415823533668949
2024-07-18,2024-07-19,0.0066573960364725605,0.006780663363205233,0.00012326732673267326,0.0,0.4108910891089109,1.0,-1.734723475976807e-18,0.5,-0.5,100,100,1.0,1.0,1.0,1.0,0.07957677251454665,0.008166755926828514,-0.019650314867112773,1.5112897747296508,0.5112897747296508,1.5415823533668949
2024-07-19,2024-07-22,0.020594156959304197,0.020738156959304196,0.00014399999999999998,0.0,0.48,1.0,-8.673617379884035e-19,0.5,-0.5,95,95,1.0,1.0,1.0,1.0,0.08203364526233645,0.008166755926828514,0.0,1.5424135135614248,0.5424135135614248,1.5424135135614248
2024-07-22,2024-07-23,0.019167916025780468,0.019325127564242008,0.00015721153846153842,0.0,0.5240384615384615,1.0,0.0,0.5,-0.5000000000000001,104,104,1.0,1.0,1.0,1.0,0.10810842379842482,0.008166755926828514,0.0,1.571978366266399,0.5719783662663991,1.571978366266399
2024-07-23,2024-07-24,9.946603349678075e-05,0.00025219330622405344,0.0001527272727272727,0.0,0.509090909090909,1.0,3.469446951953614e-18,0.5,-0.5,110,110,1.0,1.0,1.0,1.0,0.12290288150063229,0.008166755926828514,0.0,1.5721347247192343,0.5721347247192343,1.5721347247192343
2024-07-24,2024-07-25,0.0037106309471354884,0.0038565400380445795,0.00014590909090909089,0.0,0.48636363636363633,1.0,6.938893903907228e-18,0.5,-0.5,105,105,1.0,1.0,1.0,1.0,0.1226848945009415,0.008166755926828514,0.0,1.577968336481844,0.577968336481844,1.577968336481844
2024-07-25,2024-07-26,-0.0033511830069806224,-0.0031941736611862297,0.00015700934579439252,0.0,0.5233644859813085,0.9999999999999999,-6.938893903907228e-18,0.4999999999999999,-0.4999999999999999,107,107,1.0,1.0,1.0,1.0,0.12171247195902123,0.007700628096882686,-0.0033511830069807846,1.5726802758070724,0.5726802758070724,1.577968336481844
2024-07-26,2024-07-29,-0.007629974128058905,-0.007457955779435052,0.0001720183486238532,0.0,0.573394495412844,1.0,0.0,0.5,-0.5,109,109,1.0,1.0,1.0,1.0,0.12263450211609536,0.007700628096882686,-0.01095558769539795,1.5606807659909558,0.5606807659909558,1.577968336481844
2024-07-29,2024-07-30,0.018740291902667842,0.018893044196245823,0.00015275229357798162,0.0,0.5091743119266054,0.9999999999999998,6.938893903907228e-18,0.4999999999999999,-0.4999999999999999,100,100,1.0,1.0,1.0,1.0,0.12704750465004896,0.007700628096882686,0.0,1.5899283791125056,0.5899283791125056,1.5899283791125056
2024-07-30,2024-07-31,0.0023967198970265193,0.0025775234684550907,0.0001808035714285714,0.0,0.6026785714285714,0.9999999999999999,0.0,0.5,-0.5,112,112,1.0,1.0,1.0,1.0,0.14108684387084766,0.007700628096882686,0.0,1.5937389920935716,0.5937389920935716,1.5937389920935716
2024-07-31,2024-08-01,0.00445179426996895,0.004630741638390003,0.00017894736842105258,0.0,0.5964912280701753,1.0,0.0,0.5,-0.49999999999999994,114,114,1.0,1.0,1.0,1.0,0.13707735095643606,0.007700628096882686,0.0,1.6008339902063997,0.6008339902063997,1.6008339902063997
2024-08-01,2024-08-02,0.018652875022878497,0.01882261186498376,0.00016973684210526313,0.0,0.5657894736842105,1.0,1.0408340855860843e-17,0.5,-0.49999999999999994,112,112,1.0,1.0,1.0,1.0,0.13738406193005,0.007700628096882686,0.0,1.6306941465580955,0.6306941465580955,1.6306941465580955
2024-08-02,2024-08-05,-0.024273252836722093,-0.024109859979579235,0.00016339285714285712,0.0,0.5446428571428571,0.9999999999999999,0.0,0.5,-0.5,111,111,1.0,1.0,1.0,1.0,0.14458246423029195,0.007700628096882686,-0.024273252836722103,1.5911118952393282,0.5911118952393282,1.6306941465580955
2024-08-05,2024-08-06,0.0014968449148474881,0.0016493242536904634,0.00015247933884297518,0.0,0.5082644628099173,1.0,0.0,0.5,-0.5,121,121,1.0,1.0,1.0,1.0,0.17441357284668543,0.008166755926828514,-0.022812741216949872,1.5934935429886707,0.5934935429886707,1.6306941465580955
2024-08-06,2024-08-07,0.019671639839876954,0.019809243145662077,0.00013760330578512395,0.0,0.4586776859504132,1.0,0.0,0.5,-0.5,119,119,1.0,1.0,1.0,1.0,0.16939048958971212,0.008166755926828514,-0.0035898654060532165,1.6248401740535132,0.6248401740535132,1.6306941465580955
2024-08-07,2024-08-08,-0.001986139414234754,-0.0018336600753917792,0.00015247933884297515,0.0,0.5082644628099172,1.0,0.0,0.5,-0.5,121,121,1.0,1.0,1.0,1.0,0.1793654135381129,0.008166755926828514,-0.005568874847113214,1.6216130149419934,0.6216130149419934,1.6306941465580955
2024-08-08,2024-08-09,0.005830478247812116,0.005991543821582608,0.0001610655737704918,0.0,0.5368852459016393,1.0,-1.3877787807814457e-17,0.5,-0.5,122,122,1.0,1.0,1.0,1.0,0.17997540656235456,0.008166755926828514,0.0,1.6310677943519816,0.6310677943519816,1.6310677943519816
2024-08-09,2024-08-12,0.006852888748539401,0.006969692027227926,0.00011680327868852458,0.0,0.38934426229508196,1.0,1.3877787807814457e-17,0.5,-0.5,120,120,1.0,1.0,1.0,1.0,0.17993146778649421,0.008166755926828514,0.0,1.6422453204880014,0.6422453204880014,1.6422453204880014
2024-08-12,2024-08-13,0.0014962152987339843,0.0016174652987339844,0.00012124999999999999,0.0,0.4041666666666667,1.0,6.938893903907228e-18,0.5,-0.5,120,120,1.0,1.0,1.0,1.0,0.1765102595140771,0.008166755926828514,0.0,1.6447024730607898,0.6447024730607898,1.6447024730607898
2024-08-13,2024-08-14,0.006766275131916054,0.006886523065800352,0.0001202479338842975,0.0,0.40082644628099173,1.0,0.0,0.5,-0.5,121,121,1.0,1.0,1.0,1.0,0.17641764706159724,0.008166755926828514,0.0,1.6558309825036617,0.6558309825036617,1.6558309825036617
2024-08-14,2024-08-15,0.0006712539919488281,0.0008026589506265141,0.00013140495867768593,0.0,0.4380165289256198,1.0,3.469446951953614e-18,0.5,-0.5,120,120,1.0,1.0,1.0,1.0,0.17557593892145834,0.008166755926828514,0.0,1.65694246566066,0.65694246566066,1.65694246566066
2024-08-15,2024-08-16,0.0017164232389074866,0.0018482780776171639,0.00013185483870967738,0.0,0.439516129032258,1.0,0.0,0.49999999999999994,-0.49999999999999994,124,124,1.0,1.0,1.0,1.0,0.1729551108840759,0.008166755926828514,0.0,1.6597864802142526,0.6597864802142526,1.6597864802142526
2024-08-16,2024-08-19,-0.0018515714286708943,-0.0017192879641039652,0.0001322834645669291,0.0,0.4409448818897638,1.0,0.0,0.5,-0.5,127,127,1.0,1.0,1.0,1.0,0.17321649946735745,0.008166755926828514,-0.0018515714286708729,1.6567132669897937,0.6567132669897937,1.6597864802142526
2024-08-19,2024-08-20,0.009060021064944303,0.009191123427149027,0.00013110236220472438,0.0,0.437007874015748,1.0,0.0,0.49999999999999994,-0.5,124,124,1.0,1.0,1.0,1.0,0.16407486942609825,0.008166755926828514,0.0,1.6717231240872938,0.6717231240872938,1.6717231240872938
2024-08-20,2024-08-21,-0.012599749308233614,-0.012447329953394905,0.0001524193548387097,0.0,0.5080645161290324,1.0,6.938893903907228e-18,0.5,-0.5,117,117,1.0,1.0,1.0,1.0,0.15505543737825336,0.008166755926828514,-0.012599749308233599,1.6506598318110168,0.6506598318110168,1.6717231240872938
2024-08-21,2024-08-22,-0.0011038308624342586,-0.0009361838036107293,0.0001676470588235294,0.0,0.5588235294117647,1.0,0.0,0.5,-0.5,119,119,1.0,1.0,1.0,1.0,0.16460178812187848,0.009260338468256104,-0.01368967217852246,1.6488377825452833,0.6488377825452833,1.6717231240872938
2024-08-22,2024-08-23,0.009725736417468479,0.009888341459485285,0.00016260504201680667,0.0,0.5420168067226889,1.0,0.0,0.5,-0.5,113,113,1.0,1.0,1.0,1.0,0.16501533701989618,0.009260338468256104,-0.004097077904303803,1.6648739442134821,0.6648739442134821,1.6717231240872938
2024-08-23,2024-08-26,-0.0029406375202251957,-0.0027701246997123754,0.0001705128205128205,0.0,0.5683760683760684,1.0,-8.673617379884035e-18,0.4999999999999999,-0.5,117,117,1.0,1.0,1.0,1.0,0.16565519419077213,0.008166755926828514,-0.007025667403520286,1.6599781534266826,0.6599781534266826,1.6717231240872938
2024-08-26,2024-08-27,0.011703648033366439,0.011873648033366439,0.00016999999999999999,0.0,0.5666666666666667,1.0,-3.469446951953614e-18,0.5,-0.5,120,120,1.0,1.0,1.0,1.0,0.16250647796224363,0.008166755926828514,0.0,1.6794059534774664,0.6794059534774664,1.6794059534774664
2024-08-27,2024-08-28,0.015494617495334135,0.015679617495334135,0.000185,0.0,0.6166666666666667,1.0,-1.0408340855860843e-17,0.5,-0.5,99,99,1.0,1.0,1.0,1.0,0.1553064854318057,0.008166755926828514,0.0,1.7054277063459866,0.7054277063459866,1.7054277063459866
2024-08-28,2024-08-29,0.004695550696723651,0.004861570114199379,0.00016601941747572814,0.0,0.5533980582524272,0.9999999999999999,-3.469446951953614e-18,0.49999999999999994,-0.49999999999999994,103,103,1.0,1.0,1.0,1.0,0.16169767789196304,0.0077524945868511904,0.0,1.7134356286007313,0.7134356286007313,1.7134356286007313
2024-08-29,2024-08-30,0.015124529332287072,0.015306387739366718,0.00018185840707964597,0.0,0.6061946902654867,0.9999999999999999,0.0,0.5,-0.49999999999999994,113,113,1.0,1.0,1.0,1.0,0.16172018558812243,0.0077524945868511904,0.0,1.7393505360244887,0.7393505360244887,1.7393505360244887
2024-08-30,2024-09-03,-0.006004940553140682,-0.005836356482344222,0.00016858407079646016,0.0,0.5619469026548672,0.9999999999999999,0.0,0.4999999999999999,-0.4999999999999999,107,107,1.0,1.0,1.0,1.0,0.15775852310216973,0.0077524945868511904,-0.006004940553140714,1.7289058394545882,0.7289058394545882,1.7393505360244887
2024-09-03,2024-09-04,0.009318758859549572,0.009472964467026208,0.0001542056074766355,0.0,0.514018691588785,1.0,0.0,0.49999999999999994,-0.5,102,102,1.0,1.0,1.0,1.0,0.12546670840952948,0.0077524945868511904,0.0,1.7450170960633327,0.7450170960633327,1.7450170960633327
2024-09-04,2024-09-05,0.00779567909659316,0.007947149684828455,0.00015147058823529415,0.0,0.5049019607843138,1.0,8.673617379884035e-18,0.5,-0.5,99,99,1.0,1.0,1.0,1.0,0.12630834949307013,0.0077524945868511904,0.0,1.7586206893623113,0.7586206893623113,1.7586206893623113
2024-09-05,2024-09-06,0.006328189408619478,0.0064766742571043265,0.00014848484848484849,0.0,0.494949494949495,1.0,1.3877787807814457e-17,0.5000000000000001,-0.5,99,99,1.0,1.0,1.0,1.0,0.11391786874157137,0.0077524945868511904,0.0,1.769749574182513,0.7697495741825131,1.769749574182513
2024-09-06,2024-09-09,0.0021704523982288945,0.0023295433073198036,0.00015909090909090907,0.0,0.5303030303030303,1.0,-6.938893903907228e-18,0.5,-0.49999999999999994,93,93,1.0,1.0,1.0,1.0,0.1119403834604018,0.0077524945868511904,0.0,1.773590731390062,0.7735907313900621,1.773590731390062
2024-09-09,2024-09-10,0.0035482785122471134,0.003718176471430787,0.00016989795918367345,0.0,0.5663265306122449,1.0,0.0,0.49999999999999994,-0.5,98,98,1.0,1.0,1.0,1.0,0.11207560681204366,0.0077524945868511904,0.0,1.7798839252717742,0.7798839252717742,1.7798839252717742
2024-09-10,2024-09-11,-0.005050992392224488,-0.004910176065693876,0.00014081632653061222,0.0,0.4693877551020408,0.9999999999999999,0.0,0.49999999999999994,-0.5,96,96,1.0,1.0,1.0,1.0,0.1116594288781028,0.0077524945868511904,-0.005050992392224507,1.7708937451061837,0.7708937451061837,1.7798839252717742
2024-09-11,2024-09-12,0.015589636503696304,0.015711511503696304,0.000121875,0.0,0.40625,1.0,0.0,0.5,-0.49999999999999994,96,96,1.0,1.0,1.0,1.0,0.11598474346878519,0.0077524945868511904,0.0,1.7985013348790584,0.7985013348790584,1.7985013348790584
2024-09-12,2024-09-13,0.0095482353960427,0.009657610396042701,0.00010937499999999999,0.0,0.3645833333333333,1.0,6.938893903907228e-18,0.49999999999999994,-0.49999999999999994,94,94,1.0,1.0,1.0,1.0,0.12306264402199812,0.0077524945868511904,0.0,1.8156738489845807,0.8156738489845807,1.8156738489845807
2024-09-13,2024-09-16,0.013331374121582322,0.013439884759880194,0.00010851063829787234,0.0,0.3617021276595745,1.0,0.0,0.5,-0.5,87,87,1.0,1.0,1.0,1.0,0.12374791876452083,0.0077524945868511904,0.0,1.8398792763481675,0.8398792763481675,1.8398792763481675
2024-09-16,2024-09-17,0.011307943028832652,0.011420030940920565,0.00011208791208791207,0.0,0.37362637362637363,1.0,-3.469446951953614e-18,0.5,-0.5,91,91,1.0,1.0,1.0,1.0,0.12696776052725614,0.0077524945868511904,0.0,1.8606845263850427,0.8606845263850427,1.8606845263850427
2024-09-17,2024-09-18,0.011221136537689575,0.011347136537689574,0.000126,0.0,0.42000000000000004,1.0,0.0,0.5,-0.5,100,100,1.0,1.0,1.0,1.0,0.12587023406170153,0.0077524945868511904,0.0,1.8815635215091755,0.8815635215091755,1.8815635215091755
2024-09-18,2024-09-19,0.004908885399195834,0.005037658984101495,0.00012877358490566036,0.0,0.4292452830188679,1.0,-6.938893903907228e-18,0.5,-0.5,106,106,1.0,1.0,1.0,1.0,0.12683083359577904,0.0077524945868511904,0.0,1.8907999012075714,0.8907999012075714,1.8907999012075714
2024-09-19,2024-09-20,0.011498532481765196,0.011623298836905382,0.0001247663551401869,0.0,0.4158878504672897,0.9999999999999998,1.0408340855860843e-17,0.4999999999999999,-0.4999999999999999,107,107,1.0,1.0,1.0,1.0,0.10643614609119746,0.0077524945868511904,0.0,1.912541325288125,0.9125413252881249,1.912541325288125
2024-09-20,2024-09-23,0.001390125233302156,0.001540125233302156,0.00015,0.0,0.5,1.0,-3.469446951953614e-18,0.5,-0.5,116,116,1.0,1.0,1.0,1.0,0.10332313029774906,0.0077524945868511904,0.0,1.9151999972441411,0.9151999972441411,1.9151999972441411
2024-09-23,2024-09-24,-0.001484499580953763,-0.0013433978860385087,0.00014110169491525422,0.0,0.4703389830508475,1.0,-1.3877787807814457e-17,0.5,-0.5,118,118,1.0,1.0,1.0,1.0,0.10512578605076625,0.0077524945868511904,-0.0014844995809537576,1.9123568836507896,0.9123568836507896,1.9151999972441411
2024-09-24,2024-09-25,-5.901486122585905e-05,7.954446080803926e-05,0.0001385593220338983,0.0,0.46186440677966106,1.0,-6.938893903907228e-18,0.5,-0.5,117,117,1.0,1.0,1.0,1.0,0.10340352792758997,0.0077524945868511904,-0.0015434268346428137,1.9122440261746867,0.9122440261746867,1.9151999972441411
2024-09-25,2024-09-26,-0.0022903461715731805,-0.0021621410433680524,0.00012820512820512818,0.0,0.42735042735042733,0.9999999999999999,0.0,0.49999999999999994,-0.5,113,113,1.0,1.0,1.0,1.0,0.10490942019244022,0.0077524945868511904,-0.0038302380244741308,1.9078643253902239,0.9078643253902239,1.9151999972441411
