submitted_at,ticker,side,quantity,limit_price,notional,dry_run,order_status,order_id,error,risk_ok,risk_reason,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost
2026-05-13T18:19:06.934977+00:00,CGTL,SELL,3846,0.761,2926.806,False,Inactive,1288,,True,,1.0,2.0,0.2926806,0.5853612,0.8780418000000001
2026-05-13T18:19:06.934977+00:00,CHMG,SELL,7,65.57,458.99,False,Submitted,1291,,True,,1.0,2.0,0.045899,0.091798,0.137697
2026-05-13T18:19:06.934977+00:00,CHRN,BUY,171,14.29,2443.59,False,Submitted,1294,,True,,1.0,2.0,0.24435900000000002,0.48871800000000004,0.7330770000000001
2026-05-13T18:19:06.934977+00:00,CHRW,BUY,17,167.25,2843.25,False,Filled,1297,,True,,1.0,2.0,0.284325,0.56865,0.852975
2026-05-13T18:19:06.934977+00:00,CIFR,BUY,122,20.07,2448.54,False,Submitted,1300,,True,,1.0,2.0,0.244854,0.489708,0.7345619999999999
2026-05-13T18:19:06.934977+00:00,CLFD,SELL,54,45.14,2437.56,False,Submitted,1303,,True,,1.0,2.0,0.243756,0.487512,0.731268
2026-05-13T18:19:06.934977+00:00,CLIK,SELL,1517,1.92,2912.64,False,Inactive,1306,,True,,1.0,2.0,0.29126399999999997,0.5825279999999999,0.8737919999999999
2026-05-13T18:19:06.934977+00:00,CLNN,SELL,450,6.49,2920.5,False,Submitted,1309,,True,,1.0,2.0,0.29205,0.5841,0.87615
2026-05-13T18:19:06.934977+00:00,CLOV,BUY,145,3.29,477.05,False,Submitted,1312,,True,,1.0,2.0,0.047705000000000004,0.09541000000000001,0.14311500000000002
2026-05-13T18:19:06.934977+00:00,CLPT,BUY,193,12.65,2441.4500000000003,False,Filled,1315,,True,,1.0,2.0,0.24414500000000003,0.48829000000000006,0.7324350000000001
2026-05-13T18:19:06.934977+00:00,CLYM,BUY,219,11.18,2448.42,False,Submitted,1318,,True,,1.0,2.0,0.244842,0.489684,0.734526
2026-05-13T18:19:06.934977+00:00,CMPX,SELL,1565,1.86,2910.9,False,Filled,1321,,True,,1.0,2.0,0.29109,0.58218,0.87327
2026-05-13T18:19:06.934977+00:00,CNCK,SELL,231,2.05,473.55,False,PreSubmitted,1324,,True,,1.0,2.0,0.047355,0.09471,0.142065
2026-05-13T18:19:06.934977+00:00,CNSP,SELL,400,6.11,2444.0,False,Submitted,1327,,True,,1.0,2.0,0.2444,0.4888,0.7332000000000001
2026-05-13T18:19:06.934977+00:00,COAG,SELL,18,25.89,466.02,False,Filled,1330,,True,,1.0,2.0,0.046602,0.093204,0.13980599999999999
2026-05-13T18:19:06.934977+00:00,COIN,BUY,2,207.69,415.38,False,Cancelled,1333,,True,,1.0,2.0,0.041538,0.083076,0.124614
2026-05-13T18:19:06.934977+00:00,COLA,SELL,228,10.74,2448.7200000000003,False,Filled,1336,,True,,1.0,2.0,0.24487200000000003,0.48974400000000007,0.7346160000000002
2026-05-13T18:19:06.934977+00:00,COLL,BUY,68,35.7,2427.6000000000004,False,Filled,1339,,True,,1.0,2.0,0.24276000000000003,0.48552000000000006,0.72828
2026-05-13T18:19:06.934977+00:00,COLM,BUY,41,58.62,2403.42,False,Filled,1342,,True,,1.0,2.0,0.240342,0.480684,0.721026
2026-05-13T18:19:06.934977+00:00,COYA,SELL,110,4.28,470.8,False,Filled,1345,,True,,1.0,2.0,0.047080000000000004,0.09416000000000001,0.14124
2026-05-13T18:19:06.934977+00:00,CPSH,SELL,574,4.26,2445.24,False,Filled,1348,,True,,1.0,2.0,0.244524,0.489048,0.733572
2026-05-13T18:19:06.934977+00:00,CRAC,SELL,243,10.07,2447.01,False,Filled,1351,,True,,1.0,2.0,0.24470100000000003,0.48940200000000006,0.7341030000000001
2026-05-13T18:19:06.934977+00:00,CRDO,BUY,14,198.61,2780.54,False,Cancelled,1354,,True,,1.0,2.0,0.278054,0.556108,0.8341620000000001
2026-05-13T18:19:06.934977+00:00,CREG,SELL,1874,0.2539,475.8086,False,Submitted,1357,,True,,1.0,2.0,0.04758086,0.09516172,0.14274258
2026-05-13T18:19:06.934977+00:00,CRML,BUY,247,11.84,2924.48,False,Filled,1360,,True,,1.0,2.0,0.292448,0.584896,0.8773439999999999
2026-05-13T18:19:06.934977+00:00,CSGS,SELL,5,80.67,403.35,False,Filled,1363,,True,,1.0,2.0,0.040335,0.08067,0.121005
2026-05-13T18:19:06.934977+00:00,CSIQ,BUY,24,19.42,466.08,False,Submitted,1366,,True,,1.0,2.0,0.046608,0.093216,0.139824
2026-05-13T18:19:06.934977+00:00,CTSH,BUY,9,47.74,429.66,False,Filled,1369,,True,,1.0,2.0,0.042966000000000004,0.08593200000000001,0.128898
2026-05-13T18:19:06.934977+00:00,CUE,SELL,100,29.25,2925.0,False,Filled,1372,,True,,1.0,2.0,0.2925,0.585,0.8775
2026-05-13T18:19:06.934977+00:00,CVGI,BUY,542,5.41,2932.2200000000003,False,Filled,1375,,True,,1.0,2.0,0.29322200000000004,0.5864440000000001,0.8796660000000001
2026-05-13T18:19:06.934977+00:00,CVV,BUY,67,7.02,470.34,False,Submitted,1378,,True,,1.0,2.0,0.047034,0.094068,0.141102
2026-05-13T18:19:06.934977+00:00,CXDO,BUY,51,9.17,467.67,False,Filled,1381,,True,,1.0,2.0,0.046767,0.093534,0.140301
2026-05-13T18:19:06.934977+00:00,DARE,SELL,1113,2.62,2916.06,False,Filled,1384,,True,,1.0,2.0,0.291606,0.583212,0.8748179999999999
2026-05-13T18:19:06.934977+00:00,DASH,BUY,15,155.23,2328.45,False,Filled,1387,,True,,1.0,2.0,0.23284499999999997,0.46568999999999994,0.6985349999999999
2026-05-13T18:19:06.934977+00:00,DAVE,BUY,12,242.3,2907.6000000000004,False,Filled,1390,,True,,1.0,2.0,0.29076,0.58152,0.87228
2026-05-13T18:19:06.934977+00:00,DCBO,BUY,27,17.37,468.99,False,Filled,1393,,True,,1.0,2.0,0.046899,0.093798,0.14069700000000002
2026-05-13T18:19:06.934977+00:00,DDOG,BUY,14,199.98,2799.72,False,Submitted,1396,,True,,1.0,2.0,0.279972,0.559944,0.839916
2026-05-13T18:19:06.934977+00:00,DIBS,SELL,106,4.45,471.7000000000001,False,Filled,1399,,True,,1.0,2.0,0.04717000000000001,0.09434000000000002,0.14151000000000002
2026-05-13T18:19:06.934977+00:00,DJCO,BUY,6,487.88,2927.28,False,Filled,1402,,True,,1.0,2.0,0.29272800000000004,0.5854560000000001,0.8781840000000001
2026-05-13T18:19:06.934977+00:00,DKNG,BUY,99,24.62,2437.38,False,Submitted,1405,,True,,1.0,2.0,0.243738,0.487476,0.731214
2026-05-13T18:19:06.934977+00:00,DOMH,SELL,627,3.9,2445.3,False,Submitted,1408,,True,,1.0,2.0,0.24453000000000003,0.48906000000000005,0.7335900000000001
2026-05-13T18:19:06.934977+00:00,DOMO,BUY,659,3.73,2458.07,False,Filled,1411,,True,,1.0,2.0,0.24580700000000003,0.49161400000000005,0.7374210000000001
2026-05-13T18:19:06.934977+00:00,DPRO,BUY,88,5.4,475.2000000000001,False,Filled,1414,,True,,1.0,2.0,0.047520000000000014,0.09504000000000003,0.14256000000000005
2026-05-13T18:19:06.934977+00:00,DRTS,SELL,200,9.87,1974.0,False,Submitted,1417,,True,,1.0,2.0,0.1974,0.3948,0.5922
2026-05-13T18:19:06.934977+00:00,EDSA,BUY,35,13.28,464.8,False,Submitted,1420,,True,,1.0,2.0,0.04648,0.09296,0.13944
2026-05-13T18:19:06.934977+00:00,EGBN,SELL,18,25.39,457.02,False,Submitted,1423,,True,,1.0,2.0,0.045702,0.091404,0.137106
2026-05-13T18:19:06.934977+00:00,EIKN,SELL,41,11.52,472.32,False,Filled,1426,,True,,1.0,2.0,0.047231999999999996,0.09446399999999999,0.141696
2026-05-13T18:19:06.934977+00:00,ELPW,SELL,966,3.02,2917.32,False,Inactive,1429,,True,,1.0,2.0,0.291732,0.583464,0.875196
