ticker,date,residual,residual_zscore,side_implication,excluded_from_trading,reason
MSW,2026-04-06,0.18599762848318932,3.36824616435559,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
NTCL,2026-04-06,-0.2527385735495386,-4.400549232741963,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ONCO,2026-04-06,-0.18473615059786733,-3.1964158424022804,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ONEG,2026-04-06,0.1795670021425247,3.254377693770427,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
PDSB,2026-04-06,0.18625540545296032,3.372810676075745,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
PFSA,2026-04-06,-0.23615560578550643,-4.106911089733605,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
PRLD,2026-04-06,0.16554932900050146,3.006163769140509,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
QNCX,2026-04-06,0.8356840003338049,14.87238115892703,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RDGT,2026-04-06,0.41229753350029086,7.375386793086579,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RMSG,2026-04-06,0.16794283221618975,3.0485460404890454,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RUBI,2026-04-06,-0.19821761582244132,-3.4351350192049925,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SILO,2026-04-06,0.5051843079240518,9.020152696267559,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SKYQ,2026-04-06,0.25578282017858994,4.603947420638875,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SMX,2026-04-06,-0.25654908438840146,-4.468022759951236,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
TDIC,2026-04-06,0.429247951620219,7.675531457827862,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
TGHL,2026-04-06,0.1906297815689433,3.4502686858719986,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
UBXG,2026-04-06,-0.18915696619659347,-3.274696166012865,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
