signal_date,ticker,target_weight,current_weight,order_weight_delta,alpha_score,trading_cost_bps,net_alpha_after_cost_bps,min_net_alpha_after_cost_bps,passes_cost_threshold,alpha_rank,quantile_bucket,price_flag,reason_text
2026-05-14,ACUR,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2052.0,2.0,False,
2026-05-14,ACXM,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2053.0,2.0,False,
2026-05-14,ACXP,0.0,0.0,0.0,-0.0033701343920477848,3.0,-36.701343920477846,5.0,False,7212.0,1.0,False,
2026-05-14,ADAC,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2054.0,2.0,False,
2026-05-14,ADAL,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2055.0,2.0,False,
2026-05-14,ADAM,0.0,0.0,0.0,0.0016144656917338326,3.0,13.144656917338327,5.0,True,1002.0,4.0,True,
2026-05-14,ADAMG,0.0,0.0,0.0,0.0011875569272897,3.0,8.875569272897001,5.0,True,1252.0,4.0,True,
2026-05-14,ADAMH,0.0,0.0,0.0,0.0013537103315133126,3.0,10.537103315133127,5.0,True,1162.0,4.0,True,
2026-05-14,ADAMI,0.0,0.0,0.0,0.0011776034134387643,3.0,8.776034134387643,5.0,True,1258.0,4.0,True,
2026-05-14,ADAML,0.0,0.0,0.0,0.0008578401009846242,3.0,5.578401009846242,5.0,True,1470.0,4.0,True,
2026-05-14,ADAMO,0.0,0.0,0.0,0.001031202820682843,3.0,7.31202820682843,5.0,True,1349.0,4.0,True,
2026-05-14,ADAMZ,0.0,0.0,0.0,0.00043184961323473967,3.0,1.3184961323473967,5.0,False,1756.0,3.0,True,
2026-05-14,ADAT,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2056.0,2.0,False,
2026-05-14,ADBE,0.0,0.0,0.0,-0.00011122672044382414,3.0,-4.112267204438242,5.0,False,6430.0,2.0,True,
2026-05-14,ADD,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2057.0,2.0,False,
2026-05-14,ADEA,0.0,0.0,0.0,0.003986153190889663,3.0,36.86153190889663,5.0,True,307.0,5.0,True,
2026-05-14,ADEP,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2058.0,2.0,False,
2026-05-14,ADER,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2059.0,2.0,False,
2026-05-14,ADES,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2060.0,2.0,False,
2026-05-14,ADGM,0.0,0.0,0.0,-0.0027001432102023927,3.0,-30.001432102023927,5.0,False,7139.0,1.0,False,
2026-05-14,ADHD,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2061.0,2.0,False,
2026-05-14,ADI,0.0,0.0,0.0,0.003552245567090474,3.0,32.52245567090474,5.0,True,378.0,5.0,True,
2026-05-14,ADIL,0.0,0.0,0.0,-0.0018958292168186884,3.0,-21.958292168186883,5.0,False,6988.0,1.0,False,
2026-05-14,ADMA,0.0,0.0,0.0,0.002503516036412123,3.0,22.03516036412123,5.0,True,639.0,5.0,True,
2026-05-14,ADMP,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2062.0,2.0,False,
2026-05-14,ADMS,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2063.0,2.0,False,
2026-05-14,ADN,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2064.0,2.0,False,
