date,ticker,side,planned_quantity,filled_quantity,fill_ratio,planned_price,average_fill_price,arrival_price,close_price,slippage_bps,transaction_cost,order_status,rejected_reason
,DLTR,SHORT,0,0,0.0,89.97,,89.97,89.97,2.0,0.0078125,planned,
,DMRA,COVER,0,0,0.0,23.88,,23.88,23.88,2.0,0.007882254464285712,planned,
,DMRC,COVER,0,0,0.0,9.83,,9.83,9.83,2.0,0.015694754464285712,planned,
,DRTS,SELL,0,0,0.0,10.41,,10.41,10.41,2.0,0.007882254464285712,planned,
,DSGN,BUY,0,0,0.0,14.54,,14.54,14.54,2.0,0.0078125,planned,
,DTIL,BUY,0,0,0.0,8.11,,8.11,8.11,2.0,0.0078125,planned,
,DXPE,COVER,0,0,0.0,152.64,,152.64,152.64,2.0,0.007882254464285712,planned,
,EDSA,BUY,0,0,0.0,14.61,,14.61,14.61,2.0,0.0078125,planned,
,EGAN,SHORT,0,0,0.0,6.73,,6.73,6.73,2.0,0.0078125,planned,
,EGHA,SHORT,0,0,0.0,10.3301,,10.3301,10.3301,2.0,0.0078125,planned,
,ELTX,COVER,0,0,0.0,10.9,,10.9,10.9,2.0,0.007882254464285712,planned,
,ENPH,COVER,0,0,0.0,48.01,,48.01,48.01,2.0,6.975446428571404e-05,planned,
,EOSE,SELL,0,0,0.0,8.17,,8.17,8.17,2.0,0.007882254464285712,planned,
,ERII,COVER,0,0,0.0,8.62,,8.62,8.62,2.0,6.975446428571404e-05,planned,
,ERNA,COVER,0,0,0.0,9.56,,9.56,9.56,2.0,6.975446428571404e-05,planned,
,ESOA,SELL,0,0,0.0,17.42,,17.42,17.42,2.0,0.007882254464285712,planned,
,ETOR,COVER,0,0,0.0,41.58,,41.58,41.58,2.0,0.007882254464285712,planned,
,EYE,SHORT,0,0,0.0,17.72,,17.72,17.72,2.0,0.0078125,planned,
,EYPT,SHORT,0,0,0.0,13.24,,13.24,13.24,2.0,0.0078125,planned,
,FCEL,SELL,0,0,0.0,21.6,,21.6,21.6,2.0,6.975446428571404e-05,planned,
,FDBC,SHORT,0,0,0.0,45.08,,45.08,45.08,2.0,0.0078125,planned,
,FDMT,SELL,0,0,0.0,9.81,,9.81,9.81,2.0,6.975446428571404e-05,planned,
,FENC,SHORT,0,0,0.0,9.24,,9.24,9.24,2.0,0.0078125,planned,
,FGMC,COVER,0,0,0.0,10.325,,10.325,10.325,2.0,6.975446428571404e-05,planned,
,FGNX,COVER,0,0,0.0,6.86,,6.86,6.86,2.0,0.007882254464285712,planned,
,FLEX,SELL,0,0,0.0,143.6,,143.6,143.6,2.0,6.975446428571404e-05,planned,
,FLNC,SELL,0,0,0.0,20.94,,20.94,20.94,2.0,6.975446428571404e-05,planned,
,FNKO,SELL,0,0,0.0,5.11,,5.11,5.11,2.0,6.975446428571404e-05,planned,
,FRMI,COVER,0,0,0.0,7.37,,7.37,7.37,2.0,6.975446428571404e-05,planned,
,FROG,SELL,0,0,0.0,65.08,,65.08,65.08,2.0,6.975446428571404e-05,planned,
,FRPH,SHORT,0,0,0.0,21.98,,21.98,21.98,2.0,0.0078125,planned,
,FRSH,SHORT,0,0,0.0,8.42,,8.42,8.42,2.0,0.0078125,planned,
,FTNT,SELL,0,0,0.0,121.86,,121.86,121.86,2.0,0.007882254464285712,planned,
,FTRE,SELL,0,0,0.0,14.24,,14.24,14.24,2.0,6.975446428571404e-05,planned,
,FWDI,SHORT,0,0,0.0,5.07,,5.07,5.07,2.0,0.0078125,planned,
,FWRD,COVER,0,0,0.0,9.4,,9.4,9.4,2.0,6.975446428571404e-05,planned,
,GEMI,SHORT,0,0,0.0,5.26,,5.26,5.26,2.0,0.0078125,planned,
,GEN,COVER,0,0,0.0,23.18,,23.18,23.18,2.0,0.007882254464285712,planned,
,GENB,BUY,0,0,0.0,15.47,,15.47,15.47,2.0,0.0078125,planned,
,GFS,SELL,0,0,0.0,73.84,,73.84,73.84,2.0,6.975446428571404e-05,planned,
,GH,SELL,0,0,0.0,98.66,,98.66,98.66,2.0,6.975446428571404e-05,planned,
,GILT,COVER,0,0,0.0,16.08,,16.08,16.08,2.0,0.007882254464285712,planned,
,GLSI,COVER,0,0,0.0,25.97,,25.97,25.97,2.0,6.975446428571404e-05,planned,
,GLUE,BUY,0,0,0.0,18.68,,18.68,18.68,2.0,0.0078125,planned,
,GPRE,SELL,0,0,0.0,16.68,,16.68,16.68,2.0,0.007882254464285712,planned,
,GRPN,BUY,0,0,0.0,17.16,,17.16,17.16,2.0,0.0078125,planned,
,GSHD,SELL,0,0,0.0,36.85,,36.85,36.85,2.0,0.007882254464285712,planned,
,GSIT,SELL,0,0,0.0,10.86,,10.86,10.86,2.0,6.975446428571404e-05,planned,
,GTX,BUY,0,0,0.0,31.87,,31.87,31.87,2.0,0.0078125,planned,
,GWRS,SHORT,0,0,0.0,6.96,,6.96,6.96,2.0,0.0078125,planned,
,HCKT,SHORT,0,0,0.0,9.575,,9.575,9.575,2.0,0.0078125,planned,
,HPK,BUY,0,0,0.0,6.79,,6.79,6.79,2.0,0.0078125,planned,
,HROW,COVER,0,0,0.0,30.86,,30.86,30.86,2.0,6.975446428571404e-05,planned,
,HSAI,COVER,0,0,0.0,23.61,,23.61,23.61,2.0,0.007882254464285712,planned,
,HTCO,COVER,0,0,0.0,7.22,,7.22,7.22,2.0,6.975446428571404e-05,planned,
,HUT,SELL,0,0,0.0,109.37,,109.37,109.37,2.0,6.975446428571404e-05,planned,
,HYMC,SELL,0,0,0.0,39.36,,39.36,39.36,2.0,6.975446428571404e-05,planned,
,IART,COVER,0,0,0.0,14.5,,14.5,14.5,2.0,0.007882254464285712,planned,
,IIIV,COVER,0,0,0.0,18.69,,18.69,18.69,2.0,0.007882254464285712,planned,
,IMDX,SHORT,0,0,0.0,6.42,,6.42,6.42,2.0,0.0078125,planned,
,IMSR,SHORT,0,0,0.0,8.15,,8.15,8.15,2.0,0.0078125,planned,
,IMUX,COVER,0,0,0.0,12.655,,12.655,12.655,2.0,0.007882254464285712,planned,
,IMXI,COVER,0,0,0.0,15.23,,15.23,15.23,2.0,0.007882254464285712,planned,
,INBX,COVER,0,0,0.0,116.16,,116.16,116.16,2.0,0.007882254464285712,planned,
,INDV,BUY,0,0,0.0,37.83,,37.83,37.83,2.0,0.0078125,planned,
,INOD,SELL,0,0,0.0,90.15,,90.15,90.15,2.0,6.975446428571404e-05,planned,
,INSM,COVER,0,0,0.0,115.62,,115.62,115.62,2.0,0.007882254464285712,planned,
,INTC,SELL,0,0,0.0,115.93,,115.93,115.93,2.0,6.975446428571404e-05,planned,
,INV,SELL,0,0,0.0,7.32,,7.32,7.32,2.0,6.975446428571404e-05,planned,
,IPST,SHORT,0,0,0.0,8.06,,8.06,8.06,2.0,0.0078125,planned,
,IPWR,SHORT,0,0,0.0,7.38,,7.38,7.38,2.0,0.0078125,planned,
,IREN,SELL,0,0,0.0,58.4,,58.4,58.4,2.0,0.007882254464285712,planned,
