submitted_at,ticker,side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason
2026-05-14T17:13:00.563471+00:00,AVAV,BUY,24,165.04,3960.96,False,Submitted,1166,,1.0,2.0,0.396096,0.792192,1.188288,True,
2026-05-14T17:13:00.563471+00:00,AVNW,BUY,113,16.21,1831.73,False,Submitted,1169,,1.0,2.0,0.183173,0.366346,0.549519,True,
2026-05-14T17:13:00.563471+00:00,AVR,SELL,662,7.18,4753.16,False,Filled,1172,,1.0,2.0,0.47531599999999996,0.9506319999999999,1.425948,True,
2026-05-14T17:13:00.563471+00:00,AVTX,SELL,122,19.17,2338.7400000000002,False,Filled,1175,,1.0,2.0,0.23387400000000003,0.46774800000000005,0.7016220000000001,True,
2026-05-14T17:13:00.563471+00:00,AXGN,BUY,40,40.15,1606.0,False,Submitted,1178,,1.0,2.0,0.1606,0.3212,0.4818,True,
2026-05-14T17:13:00.563471+00:00,AXIN,SELL,391,10.17,3976.47,False,Filled,1181,,1.0,2.0,0.397647,0.795294,1.1929409999999998,True,
2026-05-14T17:13:00.563471+00:00,AXTI,BUY,36,120.65,4343.400000000001,False,Filled,1184,,1.0,2.0,0.43434000000000006,0.8686800000000001,1.30302,True,
2026-05-14T17:13:00.563471+00:00,BAND,BUY,91,51.9,4722.9,False,Submitted,1187,,1.0,2.0,0.47229,0.94458,1.4168699999999999,True,
2026-05-14T17:13:00.563471+00:00,BCAR,SELL,73,10.56,770.88,False,Filled,1190,,1.0,2.0,0.077088,0.154176,0.23126400000000003,True,
2026-05-14T17:13:00.563471+00:00,BDTX,SELL,168,2.88,483.84,False,Filled,1193,,1.0,2.0,0.048383999999999996,0.09676799999999999,0.145152,True,
2026-05-14T17:13:00.563471+00:00,BEAM,BUY,25,29.93,748.25,False,Filled,1196,,1.0,2.0,0.074825,0.14965,0.224475,True,
2026-05-14T17:13:00.563471+00:00,BELFA,BUY,16,240.63,3850.08,False,Submitted,1199,,1.0,2.0,0.385008,0.770016,1.155024,True,
2026-05-14T17:13:00.563471+00:00,BELFB,SELL,2,267.79,535.58,False,Filled,1202,,1.0,2.0,0.053558,0.107116,0.160674,True,
2026-05-14T17:13:00.563471+00:00,BGDE,SELL,585,6.8,3978.0,False,Submitted,1205,,1.0,2.0,0.3978,0.7956,1.1934,True,
2026-05-14T17:13:00.563471+00:00,BHAV,SELL,233,9.88,2302.04,False,Filled,1208,,1.0,2.0,0.230204,0.460408,0.690612,True,
2026-05-14T17:13:00.563471+00:00,BIOA,BUY,42,18.35,770.7,False,Submitted,1211,,1.0,2.0,0.07707,0.15414,0.23121,True,
2026-05-14T17:13:00.563471+00:00,BJRI,SELL,59,42.15,2486.85,False,Submitted,1214,,1.0,2.0,0.248685,0.49737,0.7460549999999999,True,
2026-05-14T17:13:00.563471+00:00,BKNG,SELL,15,155.49,2332.3500000000004,False,Filled,1217,,1.0,2.0,0.23323500000000003,0.46647000000000005,0.699705,True,
2026-05-14T17:13:00.563471+00:00,BKR,BUY,12,64.54,774.48,False,Submitted,1220,,1.0,2.0,0.077448,0.154896,0.232344,True,
2026-05-14T17:13:00.563471+00:00,BL,SELL,29,26.42,766.1800000000001,False,Filled,1223,,1.0,2.0,0.076618,0.153236,0.229854,True,
2026-05-14T17:13:00.563471+00:00,BLMN,SELL,351,8.15,2860.65,False,Filled,1226,,1.0,2.0,0.286065,0.57213,0.858195,True,
2026-05-14T17:13:00.563471+00:00,BLNK,BUY,2195,0.8826,1937.307,False,Filled,1229,,1.0,2.0,0.1937307,0.3874614,0.5811921,True,
2026-05-14T17:13:00.563471+00:00,BNZI,SELL,184,5.74,1056.16,False,Submitted,1232,,1.0,2.0,0.105616,0.211232,0.316848,True,
2026-05-14T17:13:00.563471+00:00,BRCB,SELL,103,7.5,772.5,False,Submitted,1235,,1.0,2.0,0.07725,0.1545,0.23175,True,
2026-05-14T17:13:00.563471+00:00,BTBT,BUY,1251,2.12,2652.1200000000003,False,Filled,1238,,1.0,2.0,0.26521200000000006,0.5304240000000001,0.7956360000000002,True,
2026-05-14T17:13:00.563471+00:00,BWEN,BUY,5647,3.98,22475.06,False,Filled,1241,,1.0,2.0,2.247506,4.495012,6.7425180000000005,True,
2026-05-14T17:13:00.563471+00:00,BYND,SELL,3085,0.7797,2405.3745,False,Filled,1244,,1.0,2.0,0.24053744999999999,0.48107489999999997,0.72161235,True,
2026-05-14T17:13:00.563471+00:00,BZAI,BUY,1796,1.72,3089.12,False,Submitted,1247,,1.0,2.0,0.30891199999999996,0.6178239999999999,0.9267359999999999,True,
2026-05-14T17:13:00.563471+00:00,CABA,BUY,806,3.56,2869.36,False,Submitted,1250,,1.0,2.0,0.286936,0.573872,0.860808,True,
2026-05-14T17:13:00.563471+00:00,CAEP,BUY,39,11.86,462.53999999999996,False,Submitted,1253,,1.0,2.0,0.046253999999999997,0.09250799999999999,0.138762,True,
2026-05-14T17:13:00.563471+00:00,CAR,SELL,31,151.2,4687.2,False,Filled,1256,,1.0,2.0,0.46871999999999997,0.9374399999999999,1.4061599999999999,True,
2026-05-14T17:13:00.563471+00:00,CBRL,SELL,16,29.29,468.64,False,Filled,1259,,1.0,2.0,0.046863999999999996,0.09372799999999999,0.140592,True,
2026-05-14T17:13:00.563471+00:00,CCRN,SELL,59,13.13,774.6700000000001,False,Filled,1262,,1.0,2.0,0.07746700000000001,0.15493400000000002,0.23240100000000002,True,
2026-05-14T17:13:00.563471+00:00,CDNA,SELL,114,20.99,2392.8599999999997,False,Filled,1265,,1.0,2.0,0.23928599999999997,0.47857199999999994,0.7178579999999999,True,
2026-05-14T17:13:00.563471+00:00,CDNL,BUY,42,54.32,2281.44,False,Filled,1268,,1.0,2.0,0.228144,0.456288,0.684432,True,
2026-05-14T17:13:00.563471+00:00,CDW,BUY,4,101.03,404.12,False,Filled,1271,,1.0,2.0,0.040412000000000003,0.08082400000000001,0.12123600000000001,True,
2026-05-14T17:13:00.563471+00:00,CELC,SELL,5,132.81,664.05,False,Submitted,1274,,1.0,2.0,0.06640499999999999,0.13280999999999998,0.19921499999999998,True,
2026-05-14T17:13:00.563471+00:00,CELH,SELL,26,29.15,757.9,False,Filled,1277,,1.0,2.0,0.07579,0.15158,0.22737,True,
2026-05-14T17:13:00.563471+00:00,CENX,SELL,26,62.1,1614.6000000000001,False,Submitted,1280,,1.0,2.0,0.16146000000000002,0.32292000000000004,0.48438000000000003,True,
