ticker,factor,exposure_x,f_pred,contribution,abs_contribution
MNST,volatility_20,-0.7500790909896087,-0.0009111341832442506,0.000683422699937407,0.000683422699937407
MSFT,log_dollar_vol_20,2.4592232980917568,-0.010274146601121012,-0.025266420689487028,0.025266420689487028
MSFT,log_dollar_vol_60,2.235894227185242,0.00966190435657122,0.02160299617447353,0.02160299617447353
MSFT,hl_range_20,-0.8192050312682378,0.006177222841425983,-0.005060412030961246,0.005060412030961246
MSFT,volatility_63,-1.0530192969528973,-0.002905352314281089,0.0030593920513847456,0.0030593920513847456
MSFT,volume_mom_20_60,1.0588372722678776,0.002684682119338205,0.0028426414921464095,0.0028426414921464095
MSFT,close_to_low_20,-0.8148539763260639,-0.0032225321331970126,0.0026258931225740987,0.0026258931225740987
MSFT,price_skew_63,-3.1150776947273,-0.0006909381256791506,0.00215232594373981,0.00215232594373981
MSFT,price_kurt_63,4.317306739261608,0.00039604122508174775,0.001709831450070853,0.001709831450070853
PENG,log_dollar_vol_20,1.3455465889615337,-0.010274146601121012,-0.013824342913629113,0.013824342913629113
PENG,log_dollar_vol_60,0.9296365936308998,0.00966190435657122,0.008982059854030418,0.008982059854030418
PENG,hl_range_20,0.7178888325146803,0.006177222841425983,0.004434559293814315,0.004434559293814315
PENG,mom_5,2.9121291017220945,-0.0011376876621163195,-0.0033130933495191073,0.0033130933495191073
PENG,close_to_low_20,0.8003986742304221,-0.0032225321331970126,-0.002579310447075823,0.002579310447075823
PENG,mom_63,-0.9942912686860826,0.0013478565320215222,-0.001340161981230503,0.001340161981230503
PENG,intraday_return,-0.28998853047334117,0.0037360590374408056,-0.0010834142700291048,0.0010834142700291048
PENG,mom_1,-0.20437477620442912,-0.005085052940077675,0.0010392565566160492,0.0010392565566160492
SITM,log_dollar_vol_20,1.8803707825132947,-0.010274146601121012,-0.019319205084006225,0.019319205084006225
SITM,log_dollar_vol_60,1.4837877408434046,0.00966190435657122,0.014336215237481858,0.014336215237481858
SITM,mom_21,-0.900128378745604,0.002548446193931107,-0.0022939287408636124,0.0022939287408636124
SITM,hl_range_20,0.3148433850933148,0.006177222841425983,0.001944857749870301,0.001944857749870301
SITM,volume_mom_20_60,-0.6484157000271554,0.002684682119338205,-0.0017407900357610693,0.0017407900357610693
SITM,mom_63,-1.2417018104748754,0.0013478565320215222,-0.001673635896071511,0.001673635896071511
SITM,intraday_return,-0.33301640100437085,0.0037360590374408056,-0.0012441689345883912,0.0012441689345883912
SITM,close_to_high_20,-0.997874488180832,-0.001129524163953435,0.0011271233469929162,0.0011271233469929162
TDIC,hl_range_20,4.929105299944306,0.006177222841425983,0.030448181846609836,0.030448181846609836
TDIC,close_to_low_20,5.051064104340568,-0.0032225321331970126,-0.01627721638307547,0.01627721638307547
TDIC,log_dollar_vol_20,1.485893339037388,-0.010274146601121012,-0.015266285998899332,0.015266285998899332
TDIC,parkinson_vol_20,6.694858679599033,-0.0021859595790595606,-0.014634690461119548,0.014634690461119548
TDIC,volatility_63,4.89425165525265,-0.002905352314281089,-0.014219525373262336,0.014219525373262336
TDIC,mom_21,3.8890769836646606,0.002548446193931107,0.009911103436925275,0.009911103436925275
TDIC,log_dollar_vol_60,1.0023429806611954,0.00966190435657122,0.009684542011628985,0.009684542011628985
TDIC,mom_1,1.5099783698320492,-0.005085052940077675,-0.007678319948968157,0.007678319948968157
TIGO,log_dollar_vol_20,1.5245386732219202,-0.010274146601121012,-0.01566333382776053,0.01566333382776053
TIGO,close_to_low_20,4.2307784585115105,-0.0032225321331970126,-0.013633819530991067,0.013633819530991067
TIGO,log_dollar_vol_60,1.1014999574238418,0.00966190435657122,0.010642587237396429,0.010642587237396429
