ticker,alpha,z_alpha,dollar_volume,passes_signal
TBLA,-0.00391249263374528,-0.22805424963007073,83851.384996625,False
ENVX,-0.00391133707911704,-0.22780824376250738,319586.018325,False
SNBR,-0.0039035955207213755,-0.22616014444909088,79096.17350076,False
AUUD,-0.0038965612175860657,-0.2246626126118112,2334.9,False
RGNX,-0.003890499510844772,-0.223372136688507,150714.19499999998,False
WOOF,-0.0038654914954004685,-0.21804818368354786,33715.8308806,False
APPS,-0.0038470464505871898,-0.2141214206031679,12834.360075,False
ATOM,-0.0038369739967452163,-0.21197709727536454,67330.18440878,False
IRDM,-0.0038288199224855747,-0.2102411775157993,637944.2469766999,False
SGML,-0.003823031684418698,-0.2090089203013794,208921.87917186398,False
INO,-0.0038213657421177663,-0.208654258071628,58718.672728319994,False
GFAI,-0.0038054145854336274,-0.20525841849570353,205.5962,False
IMVT,-0.00379512529008119,-0.20306793180824426,115855.891872,False
CRWV,-0.0037863239235431632,-0.20119421008361427,21903535.063447922,False
ONCY,-0.0037794935965983177,-0.19974010270976636,9144.0525,False
NSPR,-0.0037429660791555904,-0.1919637644918849,809.015,False
IPWR,-0.0037405171242702326,-0.19144240681958388,13478.356891391999,False
IREN,-0.0037204586089665897,-0.18717215222606412,32595406.743305698,False
HRTX,-0.003716372797189492,-0.1863023243128167,3574.0561661448005,False
TMDX,-0.0037115673013684,-0.1852792829613748,514609.2680509999,False
UAL,-0.003695117152982667,-0.18177721310999848,1900954.9370555198,False
TRAW,-0.0036662497636363407,-0.17563163852020397,50284.22052836,False
QDEL,-0.003665483009747496,-0.17546840438914424,213407.28775197,False
TTWO,-0.0036539389055814777,-0.17301078162411054,1579515.2356697998,False
BAER,-0.0036491425029114974,-0.1719896761123714,14424.754030855,False
RDGT,-0.0036448700989349415,-0.171080124611172,2114.46,False
CORZ,-0.0036274723193137426,-0.16737631367502678,4331483.9197383,False
DPRO,-0.0036125665574191705,-0.16420302805360054,20072.8900944,False
VSTM,-0.003607355939369777,-0.16309374028610268,72722.92,False
CNTN,-0.0036066837832967784,-0.162950645071186,9490.8,False
NEO,-0.003598906449641897,-0.16129492956770297,99417.25499999999,False
DFDV,-0.0035981802182063613,-0.1611403222562141,6346.206330774999,False
AIRJ,-0.003597746098233861,-0.16104790251434162,92802.43856809,False
PALI,-0.003573061684995324,-0.15579284113893377,18308.97,False
APA,-0.0035662148304423,-0.15433521520482968,1006138.53539982,False
BLNE,-0.0035410246682563463,-0.14897248500482632,6523.2,False
CRDO,-0.0035393633429287325,-0.1486188056818963,7733395.659399969,False
CXDO,-0.003515535353075164,-0.1435460681643761,16097.7686724,False
OCC,-0.003483403804889567,-0.1367055872434613,2722.5,False
OLED,-0.00346194848050833,-0.13213796615548412,410472.32809,False
VTGN,-0.0034587282194248298,-0.13145240521161644,2773.6371,False
