ticker,alpha,z_alpha,dollar_volume,passes_signal
CTSH,-0.006900386185139443,-0.86414650120722,1893830.02828992,False
AMPG,-0.006851947538268151,-0.8538344042661045,39494.24343468,False
GEN,-0.006848854457115639,-0.8531759186404388,1054018.6334024998,False
INHD,-0.0068169164485487824,-0.8463766403426217,695.64,False
TRIN,-0.006789239631986396,-0.8404845266307923,84184.19279505,False
LFMD,-0.0067882141699499255,-0.8402662161573884,28955.6115198,False
ELMT,-0.006778883457163615,-0.8382798019819924,48499.93999137,False
ICHR,-0.006771352136028401,-0.8366764600503449,168436.23299999998,False
NVTS,-0.006763566422824639,-0.8350189606258411,5524090.6021904,False
IBKR,-0.006748077097576965,-0.8317214402815816,2150706.5778276403,False
NWS,-0.006722531237560942,-0.8262829856189364,479293.88630253,False
RZLT,-0.006714756935097583,-0.8246279154254043,16789.34591796,False
BNZI,-0.006705098451030344,-0.8225717220666129,4615.152904879999,False
OCUL,-0.006649419137859358,-0.8107181606622329,205050.3,False
SRPT,-0.00663746985554591,-0.8081742795765278,458194.7857344,False
TLIH,-0.006622478825968637,-0.8049828413297341,354.5,False
AZTA,-0.006617273157378241,-0.8038746072518889,188524.15999999997,False
ARCT,-0.006611510909636834,-0.8026478831143214,9743.354991725,False
COSM,-0.006611158161093557,-0.8025727865249436,14961.251199999999,False
UPWK,-0.006608910520692434,-0.8020942866657973,354416.06813075003,False
CRNX,-0.00659933728981372,-0.8000562428467104,260576.42500000002,False
KXIN,-0.006588109458756265,-0.7976659514207216,15419.490000000002,False
AIP,-0.006557604138177364,-0.7911716778737067,182938.23464193003,False
ASYS,-0.006538551641021279,-0.787115594346726,40862.822715,False
BL,-0.006520184809708016,-0.7832054821277215,412181.3509211601,False
TRIP,-0.006507359334500343,-0.7804750684559931,374096.83067526005,False
SIRI,-0.006499251844111723,-0.7787490659303908,533479.369602695,False
TGTX,-0.006485194146666927,-0.7757563246342767,674200.71,False
Z,-0.006478756102120659,-0.7743857302068817,1877993.1978830001,False
GAUZ,-0.006445221547915343,-0.7672465635253439,349.2,False
NRIX,-0.006444764578671778,-0.7671492794052637,30073.649999999998,False
COHU,-0.006439943380165003,-0.7661228951112032,371679.09,False
LNKS,-0.006425105702497937,-0.7629641039317062,2116.2924,False
BCRX,-0.0064181602259822555,-0.7614854823813921,488216.52,False
FISV,-0.006407439921603599,-0.7592032382409909,1510506.476036835,False
TASK,-0.006402371470059121,-0.7581242162813792,56215.9289432,False
IVVD,-0.0063936690927858504,-0.756271568367853,1349.025169635,False
GRRR,-0.006378300916991106,-0.7529998395141424,28549.172838120005,False
NESR,-0.006285960497499525,-0.7333415001738498,195319.2603,False
IZM,-0.006271771133630838,-0.73032072843067,304.62030000000004,False
REAL,-0.006266015125506379,-0.7290953326443058,470460.98329435,False
FAST,-0.006259739214235546,-0.727759254747856,2195108.9071199996,False
MNTS,-0.006217682249833295,-0.7188057533191838,15752.903024950001,False
ELDN,-0.006201445034220173,-0.7153490146967937,40637.2430923,False
BTDR,-0.006183327655480019,-0.711492008402134,405490.24913293996,False
HSAI,-0.006180379417576098,-0.7108643584359513,293045.642604395,False
BKR,-0.006158551733477916,-0.7062174657385027,1852062.57200059,False
LZ,-0.006140073224837646,-0.7022835785485482,326118.56244139996,False
VHUB,-0.006130897754769675,-0.7003302139743347,1292.48,False
FBLG,-0.006114117489349231,-0.6967578655523595,1289.56,False
WIMI,-0.006110958773906669,-0.6960854070516164,4165.2,False
DFLI,-0.006106997554879525,-0.6952421036719527,15583.31849682,False
CRMD,-0.006101057824144175,-0.6939775952039557,40246.845,False
APLS,-0.006100927272057177,-0.6939498019879198,1465850.51809174,False
HCWB,-0.0060940751856629095,-0.6924910622478454,564.8181,False
DPZ,-0.006088759412869602,-0.6913593881012247,3479295.4688551202,False
IFRX,-0.006083384282919515,-0.6902150774175742,32209.424999999996,False
CART,-0.00607712835299107,-0.6888832533463863,1978554.8020898402,False
SHPH,-0.006073198623390761,-0.6880466537465166,1009.647,False
KDP,-0.006056460020951373,-0.6844831749509093,2762463.688908,False
AVPT,-0.00605445763938323,-0.6840568882113424,245147.14,False
PLAB,-0.006053259858461776,-0.6838018927939626,492049.07771408005,False
SPRY,-0.006046531872283033,-0.6823695727318844,207514.87,False
SNYR,-0.006000829732639202,-0.6726400504420513,1965.9395,False
AMBA,-0.005982967624636724,-0.6688373886999993,137097.37355072,False
INBS,-0.005981916147331063,-0.6686135398394774,5248.6,False
EDIT,-0.005944415176022195,-0.6606299631604965,2579.5499999999997,False
NNE,-0.0058903138812323496,-0.6491123458745479,328406.87081035,False
PN,-0.005884955003009458,-0.6479714950188886,565.9200000000001,False
GDYN,-0.005862112242632199,-0.6431085028705144,412179.52232574,False
SSRM,-0.005835275379175179,-0.6373952066609894,850631.733388395,False
VWAV,-0.0058126173885309496,-0.6325715501159371,11705.5,False
JFB,-0.005809066950050975,-0.6318156977510632,2189.32,False
ALKT,-0.0057747852437902356,-0.6245174699701151,190958.69999999998,False
NNOX,-0.005765756011105509,-0.6225952378525212,100460.68449521,False
OPTX,-0.005759328052659893,-0.6212267906537218,45981.216701532,False
PTLO,-0.00574660106762369,-0.6185173445411956,56255.327784348,False
TNXP,-0.005737941270140157,-0.6166737614333125,108487.24332040001,False
TER,-0.005699588528228423,-0.6085088514265926,6695843.92264543,False
QRVO,-0.005662321915950843,-0.600575167409892,699608.1799999999,False
DUOL,-0.005657912034576219,-0.5996363483641253,558914.7821199496,False
ARXS,-0.005651860241148898,-0.5983479828848837,186338.925,False
CGNT,-0.005627713515485543,-0.5932073897441902,80905.26,False
RARE,-0.00562665194585075,-0.5929813923290929,173448.8365755,False
FDUS,-0.005619809863769758,-0.5915247824059102,33355.185600000004,False
INV,-0.005605670133116621,-0.5885145770712351,198907.56,False
SEDG,-0.005556548368590203,-0.5780570513054755,527946.12060776,False
SCYX,-0.005554921834649733,-0.5777107787162201,890.9486,False
BMEA,-0.005548596376198069,-0.5763641527271853,2685.51,False
SLNH,-0.005545121821646207,-0.5756244552814413,185072.3764096711,False
LRCX,-0.005544283519131537,-0.5754459891731657,18887137.94008636,False
SDGR,-0.005541415949676293,-0.5748355127020448,123528.50369499999,False
WLDN,-0.005510380303953491,-0.568228338307309,855308.19490332,False
ICON,-0.005501639906054089,-0.5663675961878595,1503.875,False
DDOG,-0.005491006673712334,-0.5641038888015457,6324234.832031759,False
GTM,-0.005483158251340905,-0.5624330392308703,1821600.11234313,False
TNDM,-0.005482858076009125,-0.5623691349453342,293500.04637,False
CRNC,-0.0054786412166912815,-0.5614714083389698,124795.187505,False
KSCP,-0.005476657072657831,-0.561049004185682,7454.4888,False
UROY,-0.005475483986483105,-0.5607992660295729,228825.608195875,False
SYRE,-0.0054604447622996904,-0.5575975676396359,272557.58,False
BMBL,-0.005460223747671392,-0.5575505158654921,84575.8990515,False
MPWR,-0.005443375104458877,-0.5539636105046676,5281022.307552859,False
STRL,-0.005438641462836108,-0.552955866183729,10435668.2814216,False
SMCI,-0.005437778467702836,-0.5527721432672393,6909574.203416575,False
SANA,-0.005433515975980098,-0.5518647019844063,66784.08436620001,False
SKYX,-0.005431792374525107,-0.5514977647051932,12488.13491184,False
FANG,-0.005426790365684643,-0.5504328877237978,2064151.57841296,False
CAMT,-0.0053765310693125205,-0.5397331929581962,1409554.38240576,False
PPTA,-0.005371773776553693,-0.5387204135501205,354801.79936993,False
VFS,-0.005347617824212114,-0.5335778561431554,1782.3399000000004,False
SNPS,-0.0053392789591209765,-0.5318025962886186,3591451.8436796996,False
LINE,-0.005329336072146221,-0.5296858564335463,219862.06239999997,False
STKE,-0.005327868887900363,-0.5293735077790934,1016.8,False
RGLD,-0.005300416578035552,-0.5235291892675611,395666.13803407,False
WATT,-0.005299605994161359,-0.5233566241768847,26149.0345187,False
MXL,-0.005288313910143586,-0.5209526539469171,3334696.8042042004,False
CCC,-0.005286387083079314,-0.5205424519953984,78499.33288470001,False
OUST,-0.005282162032333861,-0.5196429815171248,626479.9511876424,False
PEP,-0.005281691768724009,-0.5195428671612147,3826396.65334614,False
