ticker,side,quantity,limit_price,notional,ok,reason,timestamp
OKTA,SELL,175,78.6593,13765.3775,True,,2026-05-12T18:32:04.951937
PENG,BUY,298,41.8884,12482.743199999999,True,,2026-05-12T18:32:04.951937
PSIX,BUY,446,37.6575,16795.245,True,,2026-05-12T18:32:04.951937
QUBT,BUY,1560,11.5463,18012.228,True,,2026-05-12T18:32:04.951937
RELY,SELL,571,24.1302,13778.3442,True,,2026-05-12T18:32:04.951937
REPL,SELL,45,3.9792,179.064,True,,2026-05-12T18:32:04.951937
SITM,BUY,3,819.954,2459.862,True,,2026-05-12T18:32:04.951937
TDIC,SELL,6506,2.1197,13790.768199999999,True,,2026-05-12T18:32:04.951937
TIGO,SELL,169,81.2837,13736.9453,True,,2026-05-12T18:32:04.951937
WOK,SELL,3332,4.1392,13791.8144,True,,2026-05-12T18:32:04.951937
ZBRA,BUY,73,246.6493,18005.3989,True,,2026-05-12T18:32:04.951937
AIRS,SELL,873,3.9492,3447.6515999999997,True,,2026-05-12T18:38:00.526535
ALGM,BUY,18,44.4289,799.7202,True,,2026-05-12T18:38:00.526535
BWEN,SELL,32,3.2293,103.3376,True,,2026-05-12T18:38:00.526535
CDW,BUY,10,98.7698,987.6980000000001,True,,2026-05-12T18:38:00.526535
CSGP,SELL,407,32.5785,13259.449499999999,True,,2026-05-12T18:38:00.526535
FIGR,BUY,448,38.4477,17224.5696,True,,2026-05-12T18:38:00.526535
FLNC,SELL,25,21.6257,540.6424999999999,True,,2026-05-12T18:38:00.526535
HNRG,BUY,507,19.6489,9961.9923,True,,2026-05-12T18:38:00.526535
OKTA,SELL,168,78.6593,13214.7624,True,,2026-05-12T18:38:00.526535
PENG,BUY,285,41.8884,11938.194,True,,2026-05-12T18:38:00.526535
PSIX,BUY,428,37.6575,16117.41,True,,2026-05-12T18:38:00.526535
QUBT,BUY,1493,11.5463,17238.6259,True,,2026-05-12T18:38:00.526535
RELY,SELL,550,24.1302,13271.609999999999,True,,2026-05-12T18:38:00.526535
REPL,BUY,41,3.9808,163.2128,True,,2026-05-12T18:38:00.526535
SITM,BUY,3,819.954,2459.862,True,,2026-05-12T18:38:00.526535
TDIC,SELL,6270,2.1197,13290.519,True,,2026-05-12T18:38:00.526535
TIGO,SELL,163,81.2837,13249.2431,True,,2026-05-12T18:38:00.526535
WOK,SELL,3211,4.1392,13290.9712,True,,2026-05-12T18:38:00.526535
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T18:38:00.526535
AIRS,SELL,774,3.9492,3056.6807999999996,True,,2026-05-12T18:43:55.904000
CDW,BUY,7,98.7698,691.3886,True,,2026-05-12T18:43:55.904000
CSGP,SELL,359,32.5785,11695.681499999999,True,,2026-05-12T18:43:55.904000
FIGR,BUY,392,38.4477,15071.498399999999,True,,2026-05-12T18:43:55.904000
FLNC,BUY,11,21.6343,237.97729999999999,True,,2026-05-12T18:43:55.904000
HNRG,BUY,2213,19.6489,43483.0157,False,size_or_price_limit,2026-05-12T18:43:55.904000
OKTA,SELL,149,78.6593,11720.235700000001,True,,2026-05-12T18:43:55.904000
PENG,BUY,249,41.8884,10430.211599999999,True,,2026-05-12T18:43:55.904000
PSIX,BUY,394,37.6575,14837.055,True,,2026-05-12T18:43:55.904000
