signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity,transaction_cost_existing_half_turnover,transaction_cost_full_traded_notional,portfolio_return_full_cost,equity_full_cost,cumulative_return_full_cost
2025-04-08,2025-04-09,-0.0092582258703922,-0.0091346964586275,0.0001235294117647,0.0,0.4117647058823529,1.0,-2.0816681711721685e-17,0.5,-0.5,115,115,1.0,1.0,1.0,1.0,0.2013059384910797,0.0142848190890147,-0.0092582258703922,3.502286714334608,2.502286714334608,3.5350146786850263,0.0001235294117647,0.0002470588235294118,-0.009381755282156911,3.347639567782861,2.347639567782861
2025-04-09,2025-04-10,0.0128464307466619,0.0129894540024759,0.0001430232558139,0.0,0.4767441860465116,1.0,0.0,0.5,-0.4999999999999999,129,129,1.0,1.0,1.0,1.0,0.2050590688518522,0.0142848190890147,0.0,3.547278598065262,2.547278598065262,3.547278598065262,0.0001430232558139,0.00028604651162790696,0.012703407490847994,3.3901659973448934,2.3901659973448934
2025-04-10,2025-04-11,-0.0099171379325796,-0.0097496960721145,0.0001674418604651,0.0,0.5581395348837208,1.0,0.0,0.5,-0.5,118,118,1.0,1.0,1.0,1.0,0.2042932819304772,0.0142848190890147,-0.0099171379325796,3.5120997469229613,2.5120997469229613,3.547278598065262,0.0001674418604651,0.00033488372093023246,-0.010084579793044734,3.3559775978330015,2.3559775978330015
2025-04-11,2025-04-14,-0.0018464377802099,-0.0016926242208878,0.000153813559322,0.0,0.5127118644067796,1.0,-3.469446951953614e-18,0.5,-0.5,116,116,1.0,1.0,1.0,1.0,0.2114950830867676,0.0142848190890147,-0.0117452643346394,3.5056148732623766,2.5056148732623766,3.547278598065262,0.000153813559322,0.00030762711864406776,-0.0020002513395318677,3.3492647991474973,2.3492647991474973
2025-04-14,2025-04-15,0.0089567435463233,0.009099051238631,0.0001423076923076,0.0,0.4743589743589743,1.0,0.0,0.5,-0.5,117,117,1.0,1.0,1.0,1.0,0.2124346117813975,0.0138567117808391,-0.0028937201088451,3.537013766654365,2.537013766654365,3.547278598065262,0.0001423076923076,0.00028461538461538457,0.008814435854015616,3.3787866788776957,2.3787866788776957
2025-04-15,2025-04-16,0.0050012112033431,0.0051409547930867,0.0001397435897435,0.0,0.4658119658119658,1.0,-1.3877787807814457e-17,0.5,-0.5,115,115,1.0,1.0,1.0,1.0,0.2126317434203443,0.0138567117808391,0.0,3.554703119530535,2.554703119530535,3.554703119530535,0.0001397435897435,0.0002794871794871795,0.0048614676135995205,3.3952125408903213,2.3952125408903213
2025-04-16,2025-04-17,-0.0003766422032275,-0.0002305552467057,0.0001460869565217,0.0,0.4869565217391304,1.0,-5.204170427930421e-18,0.4999999999999999,-0.5,112,112,1.0,1.0,1.0,1.0,0.212239697655762,0.0138567117808391,-0.0003766422032275,3.553364268315776,2.553364268315776,3.554703119530535,0.0001460869565217,0.00029217391304347824,-0.0005227291597491783,3.393437764291652,2.393437764291652
2025-04-17,2025-04-21,-0.0030320508907121,-0.0029003117602773,0.0001317391304347,0.0,0.4391304347826087,1.0,0.0,0.5,-0.5,115,115,1.0,1.0,1.0,1.0,0.2122994258405325,0.0138567117808391,-0.0034075510956118,3.542590287021004,2.542590287021004,3.554703119530535,0.0001317391304347,0.00026347826086956525,-0.003163790021146865,3.382701639755603,2.382701639755603
2025-04-21,2025-04-22,-0.0144982084980284,-0.0143560345849849,0.0001421739130434,0.0,0.4739130434782608,1.0,0.0,0.5,-0.4999999999999999,113,113,1.0,1.0,1.0,1.0,0.2123630809808676,0.0138567117808391,-0.0178563562073884,3.491229074416683,2.491229074416683,3.554703119530535,0.0001421739130434,0.0002843478260869565,-0.014640382411071856,3.333177594167021,2.333177594167021
2025-04-22,2025-04-23,-0.0028137838906406,-0.0026770582269238,0.0001367256637168,0.0,0.4557522123893805,1.0,1.734723475976807e-18,0.5,-0.5,111,111,1.0,1.0,1.0,1.0,0.2222233752004025,0.0142251391532496,-0.0206198961705871,3.4814055102885533,2.4814055102885533,3.554703119530535,0.0001367256637168,0.0002734513274336283,-0.0029505095543574285,3.323343021829061,2.323343021829061
