signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity,transaction_cost_existing_half_turnover,transaction_cost_full_traded_notional,portfolio_return_full_cost,equity_full_cost,cumulative_return_full_cost
2025-12-09,2025-12-10,0.0117976993355363,0.0118276993355363,2.999999999999999e-05,0.0,0.0999999999999999,0.9428343559270778,0.0144303564913586,0.4786323562092182,-0.4642019997178596,1124,1621,1.0,1.0,1.0,1.0,0.1388929998919774,0.0084911372663784,0.0,3.908159566907092,2.9081595669070923,3.908159566907092,2.999999999999999e-05,5.999999999999994e-05,0.011767699335536301,3.8516316964154864,2.8516316964154864
2025-12-10,2025-12-11,5.6598973975149246e-05,8.659897397514924e-05,3e-05,0.0,0.1,0.9336036348712388,0.0206977926058656,0.4771507137385523,-0.4564529211326866,1110,1635,1.0,1.0,1.0,1.0,0.1412274870425106,0.0084911372663784,0.0,3.9083807647287103,2.9083807647287103,3.9083807647287103,3e-05,6.000000000000001e-05,2.6598973975149235e-05,3.8517341458667413,2.8517341458667413
2025-12-11,2025-12-12,0.0194744441063978,0.0195044441063978,3e-05,0.0,0.1,0.9346529046280524,0.0186335487573851,0.4766432266927188,-0.4580096779353336,1106,1639,1.0,1.0,1.0,1.0,0.1402006376562841,0.0084911372663784,0.0,3.98449430747794,2.98449430747794,3.98449430747794,3e-05,6.000000000000001e-05,0.0194444441063978,3.9266289751787515,2.9266289751787515
2025-12-12,2025-12-15,0.0128707128964233,0.0129007128964233,3e-05,0.0,0.1,0.927195721190561,0.0258080134487409,0.476501867319651,-0.4506938538709101,1104,1643,1.0,1.0,1.0,1.0,0.1411340339453636,0.0084911372663784,0.0,4.035777589746922,3.035777589746922,4.035777589746922,3e-05,6.000000000000001e-05,0.0128407128964233,3.977049690499799,2.977049690499799
2025-12-15,2025-12-16,-0.0029165443963812,-0.0028865443963812,3.0000000000000008e-05,0.0,0.1,0.9294153040071936,0.0271919525760853,0.4783036282916394,-0.4511116757155541,1099,1651,1.0,1.0,1.0,1.0,0.1452413806804958,0.0084911372663784,-0.0029165443963811,4.024007065232505,3.024007065232505,4.035777589746922,3.0000000000000008e-05,6.000000000000001e-05,-0.0029465443963812,3.965331137020127,2.965331137020127
2025-12-16,2025-12-17,0.0061104375672119,0.0061404375672119,3e-05,0.0,0.1,0.9303903898357834,0.0293932067953007,0.479891798315542,-0.4504985915202413,1095,1658,1.0,1.0,1.0,1.0,0.1403677399375815,0.0084911372663784,0.0,4.048595509174628,3.0485955091746284,4.048595509174628,3e-05,6.000000000000001e-05,0.0060804375672119,3.9894420854320995,2.9894420854320995
2025-12-17,2025-12-18,-0.0030236906961725,-0.0029936906961725,3e-05,0.0,0.1,0.91900042578995,0.0274255937539478,0.4732130097719489,-0.4457874160180011,1104,1648,1.0,1.0,1.0,1.0,0.1360253876905325,0.0084911372663784,-0.0030236906961725,4.036353808600971,3.036353808600971,4.048595509174628,3e-05,6.000000000000001e-05,-0.0030536906961725003,3.977259563252897,2.977259563252897
2025-12-18,2025-12-19,0.0004703044380519,0.0005003044380519,3e-05,0.0,0.1,0.9188982858745296,0.0269042056706413,0.4729012457725855,-0.4459970401019442,1113,1640,1.0,1.0,1.0,1.0,0.1362603937018555,0.0071494041919192,-0.0025548083132743,4.038252123710704,3.038252123710704,4.048595509174628,3e-05,6.000000000000001e-05,0.0004403044380519,3.979010768289881,2.979010768289881
2025-12-19,2025-12-22,0.0059330469948964,0.0059630469948964,3e-05,0.0,0.1,0.9127011506095112,0.0278783761476107,0.470289763378561,-0.4424113872309503,1129,1628,1.0,1.0,1.0,1.0,0.120384988885972,0.0071494041919192,0.0,4.06221126333792,3.06221126333792,4.06221126333792,3e-05,6.000000000000001e-05,0.0059030469948964,4.002499055848295,3.002499055848295
2025-12-22,2025-12-23,0.0042491175354439,0.0042791175354439,3e-05,0.0,0.1,0.9144783522713548,0.0253749202853605,0.4699266362783576,-0.444551715992997,1123,1638,1.0,1.0,1.0,1.0,0.1212175133446633,0.0071494041919192,0.0,4.079472076449648,3.0794720764496475,4.079472076449648,3e-05,6.000000000000001e-05,0.0042191175354439,4.019386069800422,3.0193860698004222
2025-12-23,2025-12-24,-0.005875018271516,-0.005845018271516,3e-05,0.0,0.1,0.9124446697440278,0.0259191882339562,0.469181928988992,-0.4432627407550358,1119,1643,1.0,1.0,1.0,1.0,0.1179410522477774,0.0071494041919192,-0.0058750182715161,4.055505103462366,3.055505103462366,4.079472076449648,3e-05,6.000000000000001e-05,-0.005905018271516,3.9956515216179738,2.9956515216179738
2025-12-24,2025-12-26,0.0058616431440242,0.0058916431440242,3.0000000000000004e-05,0.0,0.1,0.9201344675697792,0.0243981359479742,0.4722663017588767,-0.4478681658109025,1110,1653,1.0,1.0,1.0,1.0,0.1207149119736027,0.0071494041919192,-4.7812388064061295e-05,4.079277027147632,3.079277027147632,4.079472076449648,3.0000000000000004e-05,6.000000000000001e-05,0.0058316431440242,4.018952735419927,3.0189527354199273
2025-12-26,2025-12-29,0.0048388475778487,0.0048688475778487,3e-05,0.0,0.1,0.9236320617129624,0.0250031743063407,0.4743176180096514,-0.4493144437033107,1114,1646,1.0,1.0,1.0,1.0,0.1179007853103714,0.0071494041919192,0.0,4.099016026909819,3.099016026909819,4.099016026909819,3e-05,6.000000000000001e-05,0.0048088475778487,4.03827926654714,3.03827926654714
2025-12-29,2025-12-30,0.0052389966056677,0.0052689966056677,3e-05,0.0,0.1,0.9281091148638804,0.0240676939324029,0.4760884043981416,-0.4520207104657388,1121,1640,1.0,1.0,1.0,1.0,0.117916266352891,0.0071494041919192,0.0,4.120490757961377,3.120490757961377,4.120490757961377,3e-05,6.000000000000001e-05,0.0052089966056677,4.059314649539322,3.0593146495393224
2025-12-30,2025-12-31,0.0013910993145995,0.0014210993145995,3.0000000000000008e-05,0.0,0.1,0.933821305267794,0.0224778997876405,0.4781496025277172,-0.4556717027400767,1121,1638,1.0,1.0,1.0,1.0,0.1178423601327035,0.0071494041919192,0.0,4.126222769830592,3.126222769830592,4.126222769830592,3.0000000000000008e-05,6.000000000000001e-05,0.0013610993145995,4.0648397799265545,3.0648397799265545
2025-12-31,2026-01-02,-0.0133284805406385,-0.0132984805406385,3e-05,0.0,0.1,0.9347722236633478,0.0236839765121702,0.4792281000877589,-0.4555441235755887,1128,1636,1.0,1.0,1.0,1.0,0.1164832469902816,0.0071494041919192,-0.0133284805406383,4.071226489936565,3.0712264899365653,4.126222769830592,3e-05,6.000000000000001e-05,-0.0133584805406385,4.010539696825592,3.0105396968255924
2026-01-02,2026-01-05,-0.0062931677627543,-0.0062631677627543,3e-05,0.0,0.1,0.9361385165469592,0.023435060912253,0.4797867887296061,-0.456351727817353,1132,1632,1.0,1.0,1.0,1.0,0.1296100456894439,0.0084957030629879,-0.0195377699393278,4.045605578635225,3.045605578635225,4.126222769830592,3e-05,6.000000000000001e-05,-0.0063231677627543,3.9851803815033784,2.9851803815033784
2026-01-05,2026-01-06,0.0064709715833127,0.0065009715833127,3e-05,0.0,0.1,0.9311756476195248,0.0209315160704253,0.4760535818449751,-0.4551220657745497,1133,1634,1.0,1.0,1.0,1.0,0.1177696135888057,0.0084957030629879,-0.0131932267100939,4.071784577371865,3.071784577371865,4.126222769830592,3e-05,6.000000000000001e-05,0.0064409715833126996,4.010848815095017,3.0108488150950166
2026-01-06,2026-01-07,-0.0037026414781868,-0.0036726414781868,3.0000000000000004e-05,0.0,0.1,0.9253315079694991,0.0197446860578108,0.472538097013655,-0.4527934109558442,1137,1632,1.0,1.0,1.0,1.0,0.1168316276367274,0.0084957030629879,-0.0168470183998327,4.056708218905447,3.056708218905447,4.126222769830592,3.0000000000000004e-05,6.000000000000001e-05,-0.0037326414781868,3.9958777544450568,2.9958777544450568
2026-01-07,2026-01-08,-0.0029970761545501,-0.0029670761545501,3e-05,0.0,0.1,0.9166825825124024,0.018788615126398,0.4677355988194002,-0.4489469836930022,1143,1630,1.0,1.0,1.0,1.0,0.1187918848983962,0.0084957030629879,-0.0197936027572613,4.044549955436598,3.0445499554365982,4.126222769830592,3e-05,6.000000000000001e-05,-0.0030270761545501002,3.983781928178079,2.983781928178079
2026-01-08,2026-01-09,0.0027471360162369,0.0027771360162369,3e-05,0.0,0.1,0.9195872940077991,0.0201413179614228,0.469864305984611,-0.4497229880231881,1149,1625,1.0,1.0,1.0,1.0,0.1200901249104784,0.0084957030629879,-0.0171008424600498,4.055660884288648,3.055660884288648,4.126222769830592,3e-05,6.000000000000001e-05,0.0027171360162369,3.994606405535965,2.994606405535965
2026-01-09,2026-01-12,0.0021039144464518,0.0021339144464518,3e-05,0.0,0.1,0.9201916924567358,0.0172360821893764,0.4687138873230561,-0.4514778051336797,1149,1627,1.0,1.0,1.0,1.0,0.1148088782159834,0.0084957030629879,-0.0150329067230962,4.0641936478130125,3.0641936478130125,4.126222769830592,3e-05,6.000000000000001e-05,0.0020739144464517996,4.002890877468295,3.002890877468295
2026-01-12,2026-01-13,0.007261194637397,0.007291194637397,3e-05,0.0,0.1,0.910773320678976,0.0178506809330659,0.4643120008060208,-0.4464613198729549,1140,1630,1.0,1.0,1.0,1.0,0.1146077214206664,0.0084957030629879,-0.0078808689473813,4.093704548933856,3.0937045489338555,4.126222769830592,3e-05,6.000000000000001e-05,0.007231194637397,4.031836560515529,3.0318365605155293
2026-01-13,2026-01-14,0.0009802158447527,0.0010102158447527,3e-05,0.0,0.1,0.9094994372662196,0.017737828132237,0.4636186326992282,-0.4458808045669912,1137,1635,1.0,1.0,1.0,1.0,0.0966801947403037,0.0071807725928647,-0.0069083780552413,4.097717262996457,3.097717262996457,4.126222769830592,3e-05,6.000000000000001e-05,0.0009502158447526999,4.035667675498784,3.035667675498784
2026-01-14,2026-01-15,0.006357081231498,0.006387081231498,2.9999999999999997e-05,0.0,0.0999999999999999,0.8946265424971264,0.014698885325213,0.4546627139111697,-0.4399638285859566,1139,1631,1.0,1.0,1.0,1.0,0.0866095580950345,0.0071807725928647,-0.0005952139442185,4.123766784501036,3.1237667845010364,4.126222769830592,2.9999999999999997e-05,5.999999999999994e-05,0.006327081231498,4.061201672704995,3.0612016727049953
2026-01-15,2026-01-16,0.0093810101525584,0.0094110101525584,3e-05,0.0,0.1,0.8767603744317078,0.0138631853457375,0.4453117798887227,-0.4314485945429852,1129,1642,1.0,1.0,1.0,1.0,0.0876154412334319,0.0071807725928647,0.0,4.162451882573224,3.162451882573224,4.162451882573224,3e-05,6.000000000000001e-05,0.009351010152558402,4.099178010778047,3.099178010778047
2026-01-16,2026-01-20,0.0101223178726285,0.0101523178726285,3.0000000000000004e-05,0.0,0.1,0.8633466979615849,0.0241143850428584,0.4437305415022217,-0.4196161564593632,1122,1649,1.0,1.0,1.0,1.0,0.0907403463078379,0.0063325192408701,0.0,4.204585543658152,3.204585543658152,4.204585543658152,3.0000000000000004e-05,6.000000000000001e-05,0.0100923178726285,4.140548218279307,3.1405482182793074
2026-01-20,2026-01-21,0.0015036468841146,0.0015336468841146,3e-05,0.0,0.1,0.8482946003630241,0.031390872970184,0.4398427366666041,-0.40845186369642,1106,1665,1.0,1.0,1.0,1.0,0.0941678220390113,0.0063325192408701,0.0,4.210907755609868,3.210907755609868,4.210907755609868,3e-05,6.000000000000001e-05,0.0014736468841146,4.146649924259701,3.146649924259701
2026-01-21,2026-01-22,0.0006523285895657,0.0006823285895657,3e-05,0.0,0.1,0.8526865879987585,0.0342967884756685,0.4434916882372135,-0.409194899761545,1104,1669,1.0,1.0,1.0,1.0,0.0940076792599014,0.0063325192408701,0.0,4.213654651126876,3.213654651126876,4.213654651126876,3e-05,6.000000000000001e-05,0.0006223285895657,4.149230503058488,3.1492305030584884
2026-01-22,2026-01-23,-0.0037586641612384,-0.0037286641612384,3e-05,0.0,0.1,0.8598919597529775,0.0333375128356513,0.4466147362943143,-0.413277223458663,1093,1680,1.0,1.0,1.0,1.0,0.0930246717954781,0.0063325192408701,-0.0037586641612383,4.19781693840185,3.19781693840185,4.213654651126876,3e-05,6.000000000000001e-05,-0.0037886641612384,4.133510462154834,3.1335104621548338
2026-01-23,2026-01-26,0.0061378115366993,0.0061678115366993,3e-05,0.0,0.1,0.8639676015029021,0.0321277006047561,0.4480476510538291,-0.415919950449073,1080,1691,1.0,1.0,1.0,1.0,0.0946126544480911,0.0063325192408701,0.0,4.223582347635325,3.2235823476353254,4.223582347635325,3e-05,6.000000000000001e-05,0.0061078115366993,4.15875716504265,3.1587571650426503
2026-01-26,2026-01-27,0.0076472203429112,0.0076772203429112,3e-05,0.0,0.1,0.8671844278893508,0.0321872088180498,0.4496858183537003,-0.4174986095356504,1067,1695,1.0,1.0,1.0,1.0,0.0918497992479367,0.0063325192408701,0.0,4.255881012484123,3.255881012484122,4.255881012484123,3e-05,6.000000000000001e-05,0.0076172203429111995,4.190435334721441,3.1904353347214407
2026-01-27,2026-01-28,0.0022443792087601,0.0022743792087601,3e-05,0.0,0.1,0.8840841537731423,0.0297069344494709,0.4568955441113066,-0.4271886096618357,1058,1704,1.0,1.0,1.0,1.0,0.0930439198767308,0.0063325192408701,0.0,4.265432823343499,3.265432823343499,4.265432823343499,3e-05,6.000000000000001e-05,0.0022143792087600997,4.1997145476023015,3.1997145476023015
2026-01-28,2026-01-29,0.0073834302096809,0.0074134302096809,3e-05,0.0,0.1,0.8789607958232988,0.0284980572433082,0.4537294265333035,-0.4252313692899953,1037,1724,1.0,1.0,1.0,1.0,0.0924991169046267,0.0063325192408701,0.0,4.2969263489087375,3.296926348908737,4.2969263489087375,3e-05,6.000000000000001e-05,0.0073534302096809,4.230596855428677,3.2305968554286766
2026-01-29,2026-01-30,-0.0053088428054006,-0.0052788428054006,3e-05,0.0,0.1,0.8875557162430454,0.0264498331647352,0.4570027747038903,-0.430552941539155,1018,1739,1.0,1.0,1.0,1.0,0.0937967094346104,0.0063325192408701,-0.0053088428054006,4.274114642375997,3.274114642375997,4.2969263489087375,3e-05,6.000000000000001e-05,-0.0053388428054006,4.2080103638445205,3.2080103638445205
2026-01-30,2026-02-02,0.0165228914204206,0.0165528914204206,3e-05,0.0,0.1,0.8780294325928222,0.0368937332073381,0.4574615829000801,-0.4205678496927419,1011,1744,1.0,1.0,1.0,1.0,0.0974274865970098,0.0063325192408701,0.0,4.344735374530405,3.344735374530405,4.344735374530405,3e-05,6.000000000000001e-05,0.0164928914204206,4.277412621871412,3.277412621871412
2026-02-02,2026-02-03,0.0104353194190496,0.0104653194190496,3e-05,0.0,0.1,0.8821444332888788,0.0307493507925333,0.456446892040706,-0.4256975412481727,1002,1755,1.0,1.0,1.0,1.0,0.0935749807866427,0.0063325192408701,0.0,4.390074075954874,3.3900740759548738,4.390074075954874,3e-05,6.000000000000001e-05,0.0104053194190496,4.3219204664890585,3.3219204664890585
2026-02-03,2026-02-04,-0.0069531432562247,-0.0069231432562247,3e-05,0.0,0.1,0.8920110310259368,0.0277619104132997,0.4598864707196183,-0.4321245603063185,988,1766,1.0,1.0,1.0,1.0,0.0896518647137735,0.0063325192408701,-0.0069531432562246,4.359549261999321,3.359549261999321,4.390074075954874,3e-05,6.000000000000001e-05,-0.0069831432562247,4.291739876729555,3.2917398767295554
2026-02-04,2026-02-05,0.0058935262253556,0.0059235262253556,3e-05,0.0,0.1,0.8895379823775994,0.0269932157153241,0.4582655990464617,-0.4312723833311376,1007,1747,1.0,1.0,1.0,1.0,0.0972987577063111,0.006959495959667,-0.0011005955629981,4.385242379905645,3.3852423799056446,4.390074075954874,3e-05,6.000000000000001e-05,0.0058635262253556,4.316904606049164,3.316904606049164
2026-02-05,2026-02-06,0.0014139744330239,0.0014439744330239,3e-05,0.0,0.1,0.8601267546907923,0.0282560982740698,0.444191426482431,-0.4159353282083612,1023,1729,1.0,1.0,1.0,1.0,0.0938599278717252,0.006959495959667,0.0,4.391443000513444,3.391443000513444,4.391443000513444,3e-05,6.000000000000001e-05,0.0013839744330239,4.322879091653739,3.322879091653739
2026-02-06,2026-02-09,0.0051302100939215,0.0051602100939215,3e-05,0.0,0.1,0.8592150453602567,0.0275664845611977,0.4433907649607271,-0.4158242803995294,1027,1728,1.0,1.0,1.0,1.0,0.09080610364981,0.006959495959667,0.0,4.413972025721559,3.4139720257215598,4.413972025721559,3e-05,6.000000000000001e-05,0.0051002100939215,4.344926683231794,3.344926683231794
2026-02-09,2026-02-10,0.0083070611921419,0.0083370611921419,3e-05,0.0,0.1,0.8698068284595665,0.0248363536329036,0.447321591046235,-0.4224852374133314,1018,1733,1.0,1.0,1.0,1.0,0.0907158240923334,0.006959495959667,0.0,4.45063916143963,3.4506391614396303,4.45063916143963,3e-05,6.000000000000001e-05,0.0082770611921419,4.380889907264273,3.3808899072642733
2026-02-10,2026-02-11,0.0116611933233467,0.0116911933233467,3e-05,0.0,0.1,0.8681287488421836,0.0334909727192524,0.450809860780718,-0.4173188880614655,1017,1733,1.0,1.0,1.0,1.0,0.0914321208916569,0.006959495959667,0.0,4.502538925113636,3.502538925113636,4.502538925113636,3e-05,6.000000000000001e-05,0.0116311933233467,4.431844884703962,3.4318448847039624
2026-02-11,2026-02-12,0.0059108357197328,0.0059408357197328,2.9999999999999997e-05,0.0,0.0999999999999999,0.8825564731281701,0.0292617491549187,0.4559091111415444,-0.4266473619866257,1017,1729,1.0,1.0,1.0,1.0,0.0944359458071127,0.006959495959667,0.0,4.529152693021685,3.529152693021685,4.529152693021685,2.9999999999999997e-05,5.999999999999994e-05,0.0058808357197327995,4.457907836406245,3.457907836406245
2026-02-12,2026-02-13,0.0058551175399329,0.0058851175399329,3e-05,0.0,0.1,0.891717490203063,0.0330716538540297,0.4623945720285463,-0.4293229181745166,1017,1729,1.0,1.0,1.0,1.0,0.0934156733189395,0.006959495959667,0.0,4.555671414395631,3.555671414395631,4.555671414395631,3e-05,6.000000000000001e-05,0.0058251175399329,4.4838756735355,3.4838756735354997
2026-02-13,2026-02-17,0.0129071328055541,0.0129371328055541,3e-05,0.0,0.1,0.9021397007033264,0.0311261962479367,0.4666329484756315,-0.4355067522276948,1015,1731,1.0,1.0,1.0,1.0,0.0933383524994835,0.006959495959667,0.0,4.614472070359702,3.614472070359702,4.614472070359702,3e-05,6.000000000000001e-05,0.0128771328055541,4.54161513606721,3.54161513606721
2026-02-17,2026-02-18,-0.0048092265444901,-0.0047792265444901,3e-05,0.0,0.1,0.909540145158438,0.0313286722616864,0.4704344087100622,-0.4391057364483757,1017,1731,1.0,1.0,1.0,1.0,0.096320502627092,0.0063261665374278,-0.0048092265444902,4.592280028790119,3.5922800287901198,4.614472070359702,3e-05,6.000000000000001e-05,-0.0048392265444901,4.519637231545896,3.5196372315458957
2026-02-18,2026-02-19,0.0024275352754796,0.0024575352754796,3e-05,0.0,0.1,0.9192396781616712,0.0275360495195554,0.4733878638406134,-0.4458518143210579,1016,1727,1.0,1.0,1.0,1.0,0.100654896693375,0.0063261665374278,-0.0023933658360951,4.603427950554888,3.603427950554888,4.614472070359702,3e-05,6.000000000000001e-05,0.0023975352754795998,4.530473221240898,3.5304732212408982
2026-02-19,2026-02-20,0.0145233289931766,0.0145533289931766,3e-05,0.0,0.1,0.934299315728962,0.022004072845129,0.4781516942870454,-0.4561476214419163,1013,1731,1.0,1.0,1.0,1.0,0.1003505362194872,0.0063261665374278,0.0,4.670285049177182,3.670285049177182,4.670285049177182,3e-05,6.000000000000001e-05,0.014493328993176601,4.596134860131119,3.5961348601311194
2026-02-20,2026-02-23,0.0014487931771878,0.0014787931771878,3e-05,0.0,0.1,0.9358237643022292,0.0231143428030559,0.4794690535526426,-0.4563547107495865,1014,1732,1.0,1.0,1.0,1.0,0.1052820445184951,0.0063261665374278,0.0,4.677051326291952,3.677051326291952,4.677051326291952,3e-05,6.000000000000001e-05,0.0014187931771878,4.602655824912109,3.602655824912109
2026-02-23,2026-02-24,-0.0141733964632729,-0.0141433964632729,3.0000000000000004e-05,0.0,0.1,0.9436203831295118,0.0218755702258671,0.4827479766776895,-0.4608724064518222,1014,1731,1.0,1.0,1.0,1.0,0.100952717447293,0.0063261665374278,-0.0141733964632728,4.61076162356534,3.61076162356534,4.677051326291952,3.0000000000000004e-05,6.000000000000001e-05,-0.0142033964632729,4.53728247944689,3.5372824794468896
2026-02-24,2026-02-25,-0.0013063954444549,-0.0012763954444549,3.0000000000000004e-05,0.0,0.1,0.9481539139601428,0.0208807155553828,0.4845173147577627,-0.4636365992023799,1012,1733,1.0,1.0,1.0,1.0,0.1225274437010378,0.0072719101204454,-0.0154612758471557,4.604738145584847,3.604738145584847,4.677051326291952,3.0000000000000004e-05,6.000000000000001e-05,-0.0013363954444549,4.531218875811152,3.5312188758111516
2026-02-25,2026-02-26,0.0004886431933236,0.0005186431933236,3e-05,0.0,0.1,0.9488594411395948,0.0208731899755058,0.4848663155575503,-0.4639931255820444,1013,1733,1.0,1.0,1.0,1.0,0.1235208310488162,0.0072719101204454,-0.0149801877010349,4.606988219536724,3.606988219536724,4.677051326291952,3e-05,6.000000000000001e-05,0.00045864319332360003,4.533297088506002,3.5332970885060018
2026-02-26,2026-02-27,0.0096041785111501,0.0096341785111501,3.0000000000000004e-05,0.0,0.1,0.9522624620887152,0.0187398395607802,0.4855011508247477,-0.4667613112639674,1005,1741,1.0,1.0,1.0,1.0,0.1240035043764775,0.0072719101204454,-0.005519881586696,4.651234556795921,3.651234556795921,4.677051326291952,3.0000000000000004e-05,6.000000000000001e-05,0.0095741785111501,4.576699684075435,3.576699684075435
2026-02-27,2026-03-02,-0.0046595650892969,-0.0046295650892969,3e-05,0.0,0.1,0.9493190387551056,0.0221674560812223,0.4857432474181639,-0.4635757913369416,997,1750,1.0,1.0,1.0,1.0,0.1250796725350681,0.0072719101204454,-0.0101537264284545,4.629561826632943,3.6295618266329432,4.677051326291952,3e-05,6.000000000000001e-05,-0.0046895650892969,4.555236953012799,3.555236953012799
2026-03-02,2026-03-03,-0.0047933220750473,-0.0047633220750473,3.0000000000000004e-05,0.0,0.1,0.9204994055425662,0.0058880605263783,0.4631937330344722,-0.4573056725080939,993,1758,1.0,1.0,1.0,1.0,0.1244585423878694,0.0072719101204454,-0.0148983784224683,4.607370845731547,3.607370845731547,4.677051326291952,3.0000000000000004e-05,6.000000000000001e-05,-0.0048233220750473005,4.533265578060261,3.533265578060261
2026-03-03,2026-03-04,-0.0033167988701969,-0.0032867988701969,3.0000000000000004e-05,0.0,0.1,0.9186771684749456,0.0081640457195275,0.4634206070972365,-0.455256561377709,989,1765,1.0,1.0,1.0,1.0,0.118961896066657,0.0072719101204454,-0.0181657623679457,4.592089123315847,3.592089123315847,4.677051326291952,3.0000000000000004e-05,6.000000000000001e-05,-0.0033467988701969,4.518093649945306,3.518093649945306
