signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,traded_notional,requested_gross_exposure,filled_gross_exposure_before_risk,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,equity,cumulative_return,peak_equity,drawdown,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown_control
2024-08-30,2024-09-03,0.0007738771150918313,0.0011044326706473868,0.0003305555555555555,0.0,0.5509259259259259,1.1018518518518519,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.49999999999999994,-0.49999999999999994,103,103,0.7013597803488619,-0.2986402196511381,1.0039717386940912,-0.30141481745178356,1.0,1.0,1.0,1.0,0.13435718640407476,0.010174780046191588,0.3019550184882802
2024-09-03,2024-09-04,-0.0037658459332129716,-0.0034237030045771995,0.00034214292863577215,0.0,0.5702382143929536,1.1404764287859073,1.0,0.9948453608247422,0.9948453608247422,0.005154639175257721,0.5,-0.4948453608247422,97,96,0.6987185674723161,-0.3012814325276839,1.0039717386940912,-0.30404558162048556,1.0,1.0,1.0,1.0,0.09501169225371107,0.010174780046191588,0.30141481745178356
2024-09-04,2024-09-05,0.0067122161375924826,0.007026133663365679,0.0003139175257731958,0.0,0.5231958762886597,1.0463917525773194,1.0,1.0,1.0,7.806255641895632e-18,0.5,-0.5,95,95,0.7034085175165393,-0.2965914824834607,1.0039717386940912,-0.29937418514240977,1.0,1.0,1.0,1.0,0.09399222528502861,0.010174780046191588,0.30404558162048556
2024-09-05,2024-09-06,0.0011107356026238556,0.0014391566552554346,0.00032842105263157896,0.0,0.5473684210526316,1.0947368421052632,0.9999999999999999,0.9999999999999999,0.9999999999999999,5.204170427930421e-18,0.5,-0.5,94,94,0.7041898184001338,-0.29581018159986616,1.0039717386940912,-0.29859597510573,1.0,1.0,1.0,1.0,0.08818681036522794,0.010174780046191588,0.29937418514240977
2024-09-06,2024-09-09,-0.0007098839625113689,-0.0003747775795326455,0.0003351063829787234,0.0,0.5585106382978724,1.1170212765957448,1.0,1.0,1.0,0.0,0.5,-0.5,88,88,0.7036899253414878,-0.2963100746585122,1.0039717386940912,-0.2990938905742434,1.0,1.0,1.0,1.0,0.08582728176041478,0.010174780046191588,0.29859597510573
2024-09-09,2024-09-10,-0.0033028451344302386,-0.0029415548118495935,0.0003612903225806451,0.0,0.6021505376344085,1.204301075268817,1.0,1.0,1.0,0.0,0.5,-0.5,93,93,0.701365746495426,-0.29863425350457395,1.0039717386940912,-0.3014088749074527,1.0,1.0,1.0,1.0,0.08564314371773285,0.010174780046191588,0.2990938905742434
2024-09-10,2024-09-11,-0.0037061748638388585,-0.003420726441293662,0.00028544842254519674,0.0,0.47574737090866126,0.9514947418173225,1.0,0.9945054945054945,0.9945054945054945,0.005494505494505492,0.5,-0.4945054945054945,91,90,0.6987663623954071,-0.3012336376045929,1.0039717386940912,-0.3039979757753716,1.0,1.0,1.0,1.0,0.08322265682826901,0.010174780046191588,0.3014088749074527
2024-09-11,2024-09-12,0.00031246932223874416,0.0005646671244365464,0.00025219780219780223,0.0,0.4203296703296704,0.8406593406593408,1.0,1.0,1.0,3.469446951953614e-18,0.5,-0.5,91,91,0.698984705447068,-0.30101529455293197,1.0039717386940912,-0.3037804964945854,1.0,1.0,1.0,1.0,0.07795264546107031,0.010174780046191588,0.3039979757753716
2024-09-12,2024-09-13,-0.004466530252238829,-0.004235761021469598,0.00023076923076923074,0.0,0.3846153846153846,0.7692307692307692,1.0,1.0,1.0,0.0,0.49999999999999994,-0.5,89,89,0.6958626691143365,-0.3041373308856635,1.0039717386940912,-0.30689018196919093,1.0,1.0,1.0,1.0,0.07664370915143089,0.010174780046191588,0.3037804964945854
2024-09-13,2024-09-16,0.007097632051751808,0.0073198162117956555,0.0002221841600438476,0.0,0.37030693340641274,0.7406138668128255,1.0,0.9878048780487806,0.9878048780487806,0.012195121951219513,0.5,-0.48780487804878053,82,80,0.7008016462982599,-0.2991983537017401,1.0039717386940912,-0.3019707435093517,1.0,1.0,1.0,1.0,0.07158090669408772,0.010174780046191588,0.30689018196919093
