long_threshold_alpha,short_threshold_alpha,cost_adjusted_alpha_threshold,trading_cost_return,min_net_alpha_after_cost,filtered_missing_or_untradable,filtered_price,filtered_liquidity,filtered_alpha_threshold,row,final_number_long,final_number_short
0.004133665288449036,-0.0018989601951038696,0.0007999999999999999,0.0003,0.0005,4392,1246,1527,936,135,95,95
0.003654309771893236,-0.0020607566462364038,0.0007999999999999999,0.0003,0.0005,4383,1251,1589,902,136,93,93
0.0035139239963730322,-0.002149469804178412,0.0007999999999999999,0.0003,0.0005,4412,1251,1641,939,137,89,89
0.003560625825868691,-0.001924211615124285,0.0007999999999999999,0.0003,0.0005,4377,1248,1591,858,138,97,97
0.0036940561782867845,-0.0018982298800063607,0.0007999999999999999,0.0003,0.0005,4376,1249,1542,844,139,103,103
0.003701092402252169,-0.002280289529856815,0.0007999999999999999,0.0003,0.0005,4404,1256,1561,818,140,98,98
0.0034950006239414222,-0.002538729263412256,0.0007999999999999999,0.0003,0.0005,4402,1260,1537,733,141,101,101
0.0037192220003383703,-0.0023039880281678295,0.0007999999999999999,0.0003,0.0005,4398,1248,1599,699,142,103,103
0.0035052585432231668,-0.0017774557740399563,0.0007999999999999999,0.0003,0.0005,4393,1251,1608,826,143,96,96
0.0031995745262326175,-0.001760792900304428,0.0007999999999999999,0.0003,0.0005,4389,1258,1588,651,144,106,106
0.003311151218036843,-0.0018153382440534854,0.0007999999999999999,0.0003,0.0005,4380,1261,1551,691,145,109,109
0.0033983949514835026,-0.0018858033347717083,0.0007999999999999999,0.0003,0.0005,4403,1269,1541,676,146,107,107
0.0033693805537669185,-0.001728311369907119,0.0007999999999999999,0.0003,0.0005,4395,1291,1579,616,147,106,106
0.003802283294403712,-0.0022368879871211534,0.0007999999999999999,0.0003,0.0005,4375,1307,1567,501,148,117,117
0.0046938719052664205,-0.0026329345524980217,0.0007999999999999999,0.0003,0.0005,4399,1305,1635,398,149,115,115
0.004641313219247107,-0.0029574967683884705,0.0007999999999999999,0.0003,0.0005,4401,1309,1612,393,150,116,116
0.006130224058527413,-0.004162188638761625,0.0007999999999999999,0.0003,0.0005,4405,1299,1657,300,151,117,117
0.0061241210590845885,-0.0034958618302276226,0.0007999999999999999,0.0003,0.0005,4442,1304,1616,304,152,116,116
0.00567336444302882,-0.0032765239046533947,0.0007999999999999999,0.0003,0.0005,4414,1306,1617,347,153,115,115
0.005968922403986859,-0.004366478021617473,0.0007999999999999999,0.0003,0.0005,4411,1304,1622,321,154,116,116
0.005978515798586953,-0.002994396716347446,0.0007999999999999999,0.0003,0.0005,4413,1308,1610,322,155,113,113
0.00622921665209596,-0.0031079144207455493,0.0007999999999999999,0.0003,0.0005,4408,1305,1586,344,156,119,119
0.005452989906904007,-0.0020549600768968576,0.0007999999999999999,0.0003,0.0005,4427,1294,1567,379,157,121,121
0.004933331919674867,-0.002519225385141317,0.0007999999999999999,0.0003,0.0005,4404,1281,1594,391,158,118,118
0.004224807537778124,-0.002091636450380251,0.0007999999999999999,0.0003,0.0005,4406,1281,1627,461,159,111,111
0.004461930109299888,-0.0018151368242437052,0.0007999999999999999,0.0003,0.0005,4407,1268,1631,501,160,113,113
0.0041584983976977975,-0.0014250231837271824,0.0007999999999999999,0.0003,0.0005,4420,1273,1656,535,161,108,108
0.004224053895161514,-0.0030455026318247686,0.0007999999999999999,0.0003,0.0005,4411,1269,1550,555,162,111,111
0.003592202772093507,-0.002209058502709535,0.0007999999999999999,0.0003,0.0005,4404,1265,1553,540,163,114,114
0.0034438922383719477,-0.0023831627146162463,0.0007999999999999999,0.0003,0.0005,4427,1270,1651,690,164,94,94
0.003346671230871198,-0.0024621291004707107,0.0007999999999999999,0.0003,0.0005,4426,1274,1637,662,165,99,99
0.0037369131872020257,-0.0022316590530465307,0.0007999999999999999,0.0003,0.0005,4429,1266,1637,491,166,108,108
0.003725667934309549,-0.0017507721633071246,0.0007999999999999999,0.0003,0.0005,4430,1266,1630,590,167,103,103
0.004012427831910397,-0.002433613831662318,0.0007999999999999999,0.0003,0.0005,4398,1281,1607,671,168,97,97
0.00320236043138839,-0.0026622336200079273,0.0007999999999999999,0.0003,0.0005,4416,1288,1671,657,169,95,95
0.003214916713079975,-0.002447573490319254,0.0007999999999999999,0.0003,0.0005,4414,1281,1642,708,170,94,94
0.002739026107579722,-0.0026783731481828843,0.0007999999999999999,0.0003,0.0005,4432,1294,1627,756,171,88,88
0.002968587434135794,-0.0028380817537591676,0.0007999999999999999,0.0003,0.0005,4412,1286,1609,729,172,93,93
0.002904524594863842,-0.0028816329917846256,0.0007999999999999999,0.0003,0.0005,4412,1279,1646,716,173,91,91
0.0029796579153210383,-0.0030331807527961743,0.0007999999999999999,0.0003,0.0005,4410,1277,1640,761,174,91,91
0.0030145459907070567,-0.003348803800625055,0.0007999999999999999,0.0003,0.0005,4401,1279,1643,767,175,89,89
0.002846159207640277,-0.002962300443111596,0.0007999999999999999,0.0003,0.0005,4412,1276,1590,891,176,82,82
0.0028982107987941116,-0.0028076434952728664,0.0007999999999999999,0.0003,0.0005,4424,1275,1573,832,177,86,86
0.002770705382300235,-0.002599207153361845,0.0007999999999999999,0.0003,0.0005,4418,1275,1542,724,178,94,94
0.0030327162333720317,-0.0023791045846442357,0.0007999999999999999,0.0003,0.0005,4403,1272,1554,679,179,101,101
0.003082137377371744,-0.0021991918180873653,0.0007999999999999999,0.0003,0.0005,4426,1267,1543,642,180,102,102
0.0033742925378759674,-0.0020993931897908312,0.0007999999999999999,0.0003,0.0005,4429,1269,1318,680,181,110,110
0.003630280547994684,-0.0017436601095719433,0.0007999999999999999,0.0003,0.0005,4421,1278,1569,490,182,112,112
0.0037990362533676563,-0.0018338799909312004,0.0007999999999999999,0.0003,0.0005,4417,1276,1590,483,183,111,111
0.003356206638473405,-0.0021055732819878765,0.0007999999999999999,0.0003,0.0005,4415,1288,1609,543,184,108,108
0.0031060791384196883,-0.0018627436054283646,0.0007999999999999999,0.0003,0.0005,4418,1278,1593,679,185,101,101
0.0027077078772380285,-0.001978890213514403,0.0007999999999999999,0.0003,0.0005,4435,1271,1589,942,186,87,87
0.002482099584817894,-0.0023618624085973553,0.0007999999999999999,0.0003,0.0005,4415,1268,1563,1091,187,71,71
0.0026103729123379497,-0.001746286784837282,0.0007999999999999999,0.0003,0.0005,4418,1288,1563,956,188,84,84
0.002884217394143342,-0.0021698929555623667,0.0007999999999999999,0.0003,0.0005,4447,1278,1596,923,189,80,80
0.0028950676506999994,-0.0016656751289147993,0.0007999999999999999,0.0003,0.0005,4440,1281,1648,987,190,77,77
0.003270030527605599,-0.0014632860564173205,0.0007999999999999999,0.0003,0.0005,4428,1279,1621,899,191,91,91
0.0029067967972907552,-0.0014995068623691616,0.0007999999999999999,0.0003,0.0005,4411,1281,1635,980,192,81,81
0.002981278299883421,-0.001405591118736215,0.0007999999999999999,0.0003,0.0005,4418,1276,1650,716,193,99,99
0.003117817513552628,-0.0010035674615152127,0.0007999999999999999,0.0003,0.0005,4414,1281,1652,638,194,103,103
0.0031052873466919646,-0.001323948983006723,0.0007999999999999999,0.0003,0.0005,4416,1284,1645,565,195,108,108
0.0034044033459230487,-0.0017009811299232489,0.0007999999999999999,0.0003,0.0005,4408,1274,1648,554,196,106,106
0.003236301198506319,-0.001174583695816317,0.0007999999999999999,0.0003,0.0005,4418,1272,1648,648,197,106,106
0.0033301364089839947,-0.0012708104044483147,0.0007999999999999999,0.0003,0.0005,4424,1265,1572,623,198,109,109
0.0031135625450763463,-0.0014659716291918585,0.0007999999999999999,0.0003,0.0005,4409,1255,1547,856,199,96,96
0.0028824208344059516,-0.002203601578625484,0.0007999999999999999,0.0003,0.0005,4404,1262,1610,1113,200,75,75
0.002757659708086391,-0.002112320962585464,0.0007999999999999999,0.0003,0.0005,4438,1248,1576,1002,201,82,82
0.002792588864873369,-0.002433365407207609,0.0007999999999999999,0.0003,0.0005,4427,1256,1565,1076,202,72,72
0.002376922223172818,-0.0028463847302722094,0.0007999999999999999,0.0003,0.0005,4432,1253,1573,1024,203,75,75
0.0026773620077179864,-0.0029642423235227704,0.0007999999999999999,0.0003,0.0005,4401,1262,1593,981,204,80,80
